Timestep,L_ASIS,L_Ankle_Lat,L_Heel,L_Knee_Lat,L_PSIS,L_Shank_Front,L_Shank_Rear,L_Shank_Upper,L_Thigh_Front,L_Thigh_Rear,L_Thigh_Upper,L_Toe_Lat,L_Toe_Med,L_Toe_Tip,R_ASIS,R_Ankle_Lat,R_Heel,R_Knee_Lat,R_PSIS,R_Shank_Front,R_Shank_Rear,R_Shank_Upper,R_Thigh_Front,R_Thigh_Rear,R_Thigh_Upper,R_Toe_Lat,R_Toe_Med,R_Toe_Tip
All Timesteps RMSE,0.00864094,0.00477563,0.00539557,0.00717564,0.00696012,0.0053321,0.00631528,0.00603532,0.00945679,0.00692999,0.0076918,0.00863924,0.00561709,0.00547612,0.00963262,0.0047595,0.00419484,0.005357,0.0127719,0.00379509,0.00464104,0.00445598,0.00882841,0.00628039,0.00679672,0.00629267,0.00440339,0.0036448
0,0.0101823,0.0104531,0.00566417,0.00498369,0.00782714,0.00685739,0.0117528,0.00860632,0.0142625,0.0104778,0.0148854,0.0100836,0.00769405,0.00921579,0.00508993,0.00335366,0.00208667,0.00191673,0.00711437,0.0057617,0.006066,0.0051295,0.0101226,0.00423124,0.00622986,0.00131325,0.00303502,0.00379142
1,0.0098606,0.0106779,0.00582078,0.00557748,0.00786872,0.00654493,0.0116502,0.00877471,0.0171304,0.0100451,0.0143472,0.010386,0.0080233,0.00934321,0.00503677,0.00303461,0.00177269,0.00130581,0.00614462,0.00551949,0.00592056,0.0050821,0.00975907,0.00399637,0.00564699,0.00126149,0.00301465,0.00402853
2,0.00940868,0.0106659,0.00574939,0.00586016,0.00754592,0.00625804,0.012127,0.0083317,0.0155098,0.0104327,0.0146481,0.010159,0.00795481,0.00931578,0.00510738,0.00301906,0.00157956,0.00123609,0.00594464,0.00531161,0.0058065,0.00499285,0.00936716,0.0038591,0.00553248,0.00128154,0.00296544,0.00422224
3,0.00903883,0.0106807,0.00580119,0.00585847,0.00752637,0.00609654,0.0125644,0.00799887,0.0145666,0.0108951,0.014608,0.00996128,0.00782601,0.00928637,0.00519337,0.00348338,0.001635,0.00144537,0.00609351,0.00514084,0.00570211,0.00499249,0.00904701,0.00365009,0.00532758,0.0012064,0.00292785,0.00443199
4,0.00880731,0.010863,0.00579093,0.00577034,0.00748436,0.00585792,0.0120669,0.00768276,0.0137163,0.0113859,0.0144542,0.00995133,0.00774292,0.00923464,0.00531971,0.00394785,0.00162858,0.00176444,0.00642253,0.00496965,0.00545336,0.00492748,0.00867373,0.00349975,0.00533921,0.00107465,0.00308035,0.00448598
5,0.00861791,0.0111578,0.00555817,0.00569953,0.00708293,0.00542596,0.0108857,0.00710844,0.0134672,0.0109321,0.0144906,0.00996497,0.00752183,0.00904818,0.00520115,0.00425504,0.00147312,0.00210991,0.00638319,0.00481274,0.00516727,0.00479571,0.00825663,0.00342749,0.00532337,0.00101399,0.00332778,0.00445073
6,0.00856932,0.0113136,0.00535158,0.00567751,0.00671263,0.00506931,0.0108191,0.00642091,0.0131877,0.0105383,0.0145449,0.00988591,0.0075252,0.00898385,0.00518199,0.00444912,0.00149138,0.00248376,0.00609936,0.00481647,0.00503713,0.00473823,0.00791055,0.00339818,0.00484109,0.000971464,0.00355405,0.00452995
7,0.00852122,0.011406,0.00519117,0.00546783,0.00659677,0.00481456,0.0108502,0.00598718,0.0128882,0.0104802,0.0144496,0.00982494,0.00761439,0.00896181,0.00542792,0.00463952,0.00156212,0.00279657,0.00583303,0.00489249,0.00497285,0.00473876,0.00757791,0.00330862,0.00458326,0.000986453,0.00376518,0.00460648
8,0.008269,0.0115252,0.00497122,0.00512401,0.0064772,0.00447582,0.00989357,0.00588878,0.0127245,0.010413,0.0142128,0.00978284,0.00763069,0.00885607,0.00573173,0.00508387,0.00171498,0.00309772,0.00597995,0.00493466,0.00495051,0.00483099,0.00729448,0.00318056,0.00432283,0.00114684,0.00397753,0.00473602
9,0.00802805,0.0115995,0.00483113,0.00483454,0.00634775,0.00435888,0.00935293,0.00604773,0.0124067,0.0107223,0.0138969,0.00972938,0.00762767,0.00883966,0.00615164,0.00569256,0.0018597,0.00345009,0.00616353,0.00485167,0.00491451,0.00487492,0.00701974,0.00302355,0.00426152,0.00139529,0.00431331,0.00486231
10,0.00774673,0.0116792,0.00463084,0.00481498,0.0062167,0.00429931,0.00900999,0.00603804,0.0123833,0.0103765,0.0139622,0.00954359,0.00748296,0.00875755,0.00673498,0.00608748,0.00186752,0.00383995,0.00617766,0.00478581,0.00490732,0.00499746,0.00673066,0.00303117,0.00419412,0.00183848,0.00472465,0.00486383
11,0.00752652,0.0119622,0.00439355,0.0048527,0.00637834,0.00457356,0.00838373,0.00602565,0.012258,0.010394,0.0140127,0.00944303,0.00738061,0.00872489,0.00728071,0.00623092,0.00186791,0.00417637,0.00646539,0.00482442,0.00489911,0.00517771,0.0063492,0.00314274,0.00413165,0.00233077,0.00505384,0.00490258
12,0.00766499,0.0121559,0.00417409,0.00475666,0.00577639,0.00450615,0.00877553,0.00590733,0.0122788,0.0101329,0.0140406,0.00925488,0.00729771,0.00877393,0.00753182,0.0066935,0.00183679,0.00448691,0.00641636,0.00498311,0.00495023,0.00542736,0.00601824,0.00322003,0.00388457,0.00279032,0.00545702,0.00497417
13,0.00765287,0.0120237,0.00387307,0.00456821,0.0056939,0.00446558,0.00886743,0.00595384,0.0121567,0.00988438,0.0140478,0.00910918,0.00734024,0.00877155,0.00769446,0.00720671,0.00184396,0.00480453,0.00631948,0.00511553,0.0050046,0.00569972,0.00584743,0.00335395,0.0037434,0.00338633,0.00597493,0.00494351
14,0.0077136,0.0123547,0.00364468,0.00441097,0.00583281,0.00439448,0.00902655,0.00600842,0.0120826,0.00979473,0.013994,0.00895194,0.00740502,0.00888993,0.00795545,0.0075696,0.00201214,0.00507703,0.00609623,0.00518028,0.00508295,0.00599156,0.00591245,0.00354355,0.00380601,0.00373115,0.00634064,0.00494776
15,0.0076155,0.012747,0.00348305,0.0043984,0.00609095,0.00432699,0.00858614,0.00606681,0.0120082,0.00970922,0.013967,0.00893881,0.00717479,0.00885291,0.00825322,0.00778191,0.00218319,0.00540095,0.00611043,0.00523039,0.00518193,0.00630074,0.00583829,0.00361978,0.00421646,0.00380022,0.00652444,0.00515132
16,0.00747322,0.0125243,0.0034741,0.00451411,0.0057915,0.00414267,0.00858859,0.00612828,0.011964,0.00942951,0.0138231,0.00876758,0.00704318,0.00878664,0.00854385,0.00787313,0.00229174,0.00573525,0.00601863,0.00533634,0.00537248,0.00663941,0.00573458,0.00377034,0.00438711,0.00417025,0.0068732,0.00509356
17,0.00737657,0.0119946,0.00355773,0.00453526,0.00572659,0.00415252,0.00869768,0.0063992,0.0118713,0.00939306,0.0136808,0.00866045,0.00700727,0.00871604,0.00910322,0.00773519,0.00249392,0.00600442,0.00617051,0.00556242,0.00559064,0.0069636,0.00568099,0.00390439,0.00460624,0.0045706,0.00699194,0.00511881
18,0.00720705,0.0118689,0.00346646,0.00431964,0.00571738,0.0040612,0.00867531,0.00643381,0.0116923,0.00938434,0.0135171,0.00845503,0.0069519,0.00865052,0.00972519,0.00789585,0.00270292,0.00629832,0.00644524,0.00594525,0.00591204,0.0073363,0.00572612,0.00403399,0.00473526,0.00466676,0.00712103,0.00533131
