Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0171703,0.0126695,0.0165289,0.00908578,0.00941131,0,0.047078,0.0191309,0.0107154,0.0117834,0.0100206,0.0151945,0,0,0.0126717,0.013961,0.0129552,0.00812182,0.00912045,0.00640127,0.0111015,0.00938179,0.00756366,0.00719876,0.00908413,0.0065312,0,0.0467746,0.015913,0.0104583,0.0102116,0,0,0.00503359,0.00410573,0.0191035,0.0167776,0.00819604,0.011779,0.0125373,0.0113174,0.00772906,0.0123382,0.0112474,0.00685247,0.00719739,0.00561692,0.00581315,0.0102604,0.00816753,0.00889632
0,0.00388183,0.0156255,0.0160551,0.00791507,0.00180861,0,0.0265483,0.00878643,0.00329854,0.0111712,0.0128595,0.0134398,0,0,0.00548627,0.00430878,0.0040926,0.00653701,0.0074728,0.00664182,0.0147803,0.00984532,0.00487503,0.00265611,0.0025925,0.00224439,0,0.0236752,0.00775322,0.0122558,0.0142782,0,0,0.00128857,0.00264993,0.0223256,0.0175958,0.00859351,0.0027766,0.0055463,0.00547909,0.00824499,0.00364339,0.00318586,0.0050836,0.00625286,0.00716153,0.00792351,0.0095724,0.00803106,0.00720256
1,0.00392183,0.014993,0.0156789,0.00809449,0.00243285,0,0.0262933,0.00874431,0.00306868,0.0113513,0.012785,0.0132259,0,0,0.00556809,0.00446866,0.00449838,0.00715167,0.00591958,0.00639933,0.0141542,0.00956601,0.00487038,0.00266698,0.00258609,0.00191197,0,0.023384,0.00762225,0.0118723,0.0137034,0,0,0.00108798,0.00246012,0.0215626,0.0171341,0.00861137,0.00276324,0.00544475,0.00600108,0.00835374,0.00366916,0.00326047,0.00492968,0.00576384,0.00691386,0.00771708,0.00938741,0.0077712,0.00725561
2,0.00389289,0.0144683,0.0152133,0.0081352,0.00280636,0,0.0260937,0.00860562,0.00296776,0.0113313,0.0126107,0.0129535,0,0,0.0055812,0.0045478,0.00461673,0.00736989,0.0052387,0.0061549,0.0136439,0.00938298,0.00486042,0.00268982,0.00262735,0.00169466,0,0.0232111,0.00747006,0.0116242,0.013038,0,0,0.000896092,0.00230335,0.0208867,0.0166296,0.00854657,0.00272367,0.00537861,0.00586628,0.00832854,0.00364818,0.00323445,0.00485266,0.00537633,0.00665978,0.00759249,0.0092769,0.00762576,0.00721817
3,0.00381754,0.0140003,0.0147131,0.00806971,0.00293637,0,0.0259084,0.00840509,0.002938,0.011172,0.0122916,0.0126175,0,0,0.00551509,0.00454099,0.00453543,0.00725125,0.00506049,0.00592789,0.0129059,0.00926899,0.00483533,0.00272503,0.00268219,0.00156833,0,0.0230905,0.0072897,0.0114189,0.0124983,0,0,0.000785644,0.0021561,0.0202909,0.0161463,0.00844715,0.00266684,0.0053484,0.00542736,0.00822408,0.00358362,0.0031628,0.0048236,0.00509415,0.0063135,0.00747493,0.00914046,0.00752724,0.00714047
4,0.00374279,0.013558,0.0142432,0.00798245,0.00297451,0,0.0256742,0.00821779,0.00293659,0.0110118,0.0118434,0.0122339,0,0,0.00545995,0.00453674,0.00442938,0.00699217,0.00510074,0.00578387,0.0121137,0.00917653,0.00480548,0.00276703,0.00275036,0.00147085,0,0.0229348,0.00709103,0.0111829,0.0122137,0,0,0.000516331,0.00208203,0.0197658,0.015726,0.0083631,0.00261795,0.00533702,0.00511703,0.00814109,0.00351699,0.00307195,0.00480179,0.00488383,0.00595281,0.00729767,0.0089328,0.00741849,0.00707163
5,0.00369656,0.0131461,0.0137978,0.00794998,0.00307833,0,0.0253973,0.00810911,0.00293292,0.0109352,0.011424,0.0118576,0,0,0.00546322,0.00465472,0.00442196,0.00682254,0.00499403,0.005676,0.011383,0.0090532,0.00479552,0.00279367,0.00279917,0.00136955,0,0.0227671,0.00691406,0.011026,0.011977,0,0,0.000456106,0.00190521,0.0192795,0.0153081,0.00831438,0.00259199,0.00532943,0.00496163,0.00812597,0.00354776,0.00295346,0.00478951,0.0046783,0.00564258,0.00707956,0.0088143,0.0072957,0.00702381
6,0.0036748,0.012803,0.0133857,0.00796678,0.00327916,0,0.025151,0.00804869,0.00290213,0.0109337,0.0111571,0.0115329,0,0,0.00546402,0.00485755,0.00450589,0.00681333,0.00461915,0.0055398,0.0106756,0.0089183,0.00479504,0.0028002,0.00287375,0.00130878,0,0.0226247,0.0067698,0.0109587,0.0115263,0,0,0.000392474,0.00183735,0.0187903,0.0148817,0.00831665,0.00257806,0.00534122,0.00481708,0.00813435,0.00373544,0.00287757,0.00481918,0.00444347,0.00539287,0.00688143,0.00886503,0.00715026,0.00701331
7,0.00365143,0.0125392,0.0130574,0.00795463,0.00347071,0,0.0249678,0.00794318,0.00284602,0.0109263,0.0109886,0.0112387,0,0,0.00541492,0.00499871,0.00458672,0.00680282,0.0042968,0.00541208,0.00993884,0.00885945,0.00477001,0.00279826,0.00295666,0.00132249,0,0.0224843,0.00663515,0.0108984,0.0110431,0,0,0.00034942,0.00186282,0.0182745,0.014527,0.00835279,0.00254758,0.00538192,0.00465592,0.00809713,0.00397369,0.00291673,0.00487708,0.00418147,0.00521041,0.006741,0.00872553,0.00700212,0.00703806
8,0.00363342,0.0123026,0.012811,0.00788789,0.00358164,0,0.0248043,0.00773328,0.00279225,0.0108552,0.0107422,0.0109161,0,0,0.00537778,0.00507913,0.00462713,0.00670087,0.00417158,0.00535522,0.00913656,0.00890702,0.00472964,0.00281365,0.0029829,0.00137979,0,0.0223184,0.00648397,0.0107745,0.0108173,0,0,0.000323386,0.00183573,0.0177363,0.0142681,0.00837002,0.00250449,0.00541946,0.00452372,0.00800881,0.00412727,0.00299146,0.00488176,0.00388947,0.00506654,0.00667276,0.00797392,0.00694105,0.00705699
9,0.003665,0.0120232,0.0125281,0.00784377,0.00366794,0,0.024548,0.00746732,0.00276026,0.0107786,0.0103286,0.0105644,0,0,0.00542275,0.00518769,0.00469797,0.00668795,0.00401092,0.00536961,0.00841996,0.00894948,0.00471866,0.00286958,0.00298885,0.00148767,0,0.0221616,0.00631688,0.0106311,0.010744,0,0,0.000327065,0.00176083,0.0171849,0.0140023,0.00835819,0.00247061,0.00543147,0.00441055,0.00794256,0.00422364,0.00302201,0.00480656,0.00358805,0.00486737,0.00664144,0.00684742,0.00699019,0.00705194
10,0.00374354,0.0116996,0.0121377,0.00787349,0.00376807,0,0.0241436,0.00724767,0.00274643,0.010766,0.00984948,0.0102452,0,0,0.00549176,0.00526859,0.00485768,0.00686801,0.00370874,0.00539959,0.00782865,0.00886517,0.00474811,0.00297233,0.00302902,0.00167128,0,0.0220381,0.0061575,0.0105835,0.0105543,0,0,0.00065723,0.00151585,0.0166406,0.0136703,0.00835704,0.00243567,0.00545396,0.00428308,0.00795364,0.00439185,0.00308743,0.00473815,0.00335241,0.00458818,0.00659443,0.00602077,0.00703724,0.00704299
11,0.00379018,0.0114042,0.0117466,0.00792523,0.00386293,0,0.0237413,0.00709145,0.00273898,0.0107788,0.00945087,0.00994789,0,0,0.00551332,0.00523367,0.00507699,0.0070404,0.00357042,0.00541508,0.00730739,0.00869764,0.00479004,0.00310409,0.0031628,0.00189522,0,0.0219062,0.00599456,0.0105849,0.0102365,0,0,0.000554704,0.00169711,0.0161539,0.0133632,0.00837938,0.00237973,0.00553277,0.00413899,0.00800562,0.00470976,0.00324227,0.00475365,0.00318644,0.00435881,0.00655668,0.00572895,0.00701196,0.00703292
12,0.00375999,0.011151,0.011427,0.00794083,0.00397844,0,0.0235098,0.00696774,0.00273836,0.0107657,0.00917149,0.0096224,0,0,0.00554746,0.00513758,0.00527945,0.00703759,0.00362871,0.00539513,0.00670355,0.00858172,0.00480869,0.00319577,0.00324759,0.00208605,0,0.0217797,0.00581994,0.0105867,0.0100907,0,0,0.000615014,0.00165835,0.0157119,0.0131122,0.00838288,0.00230955,0.00563635,0.00396206,0.00803037,0.00513662,0.00340009,0.00482906,0.00287815,0.00433429,0.00659347,0.00566178,0.00699563,0.0070104
13,0.00372793,0.0109371,0.011205,0.00789594,0.00401333,0,0.0234103,0.00681102,0.00274133,0.0107384,0.00890936,0.0092537,0,0,0.00560394,0.0051072,0.00534593,0.00686321,0.00371458,0.00534623,0.00602767,0.00854312,0.0047612,0.00317632,0.00329289,0.00219504,0,0.02165,0.00563105,0.0105287,0.0101221,0,0,0.000590393,0.00155531,0.0152963,0.0129535,0.00837682,0.00227922,0.00565727,0.00369824,0.00803458,0.00555476,0.00348005,0.00492706,0.00221377,0.00445852,0.00668459,0.00560828,0.00703276,0.00699497
14,0.0037256,0.0107005,0.0109903,0.00777197,0.00397113,0,0.0233013,0.00661402,0.00278783,0.0107063,0.00860706,0.0089311,0,0,0.00569941,0.0051274,0.00519578,0.00659795,0.00391147,0.00537126,0.00563259,0.00855447,0.00462182,0.0030928,0.00337126,0.00221952,0,0.0215279,0.00546522,0.0104867,0.010194,0,0,0.000564684,0.00146242,0.0148814,0.0128084,0.00836473,0.0022772,0.00554956,0.00334952,0.00798456,0.00582019,0.00353735,0.00498103,0.00146654,0.00447749,0.00674432,0.00562309,0.00700259,0.00703234
