Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0125181,0.0113738,0.0190924,0.00698762,0.01024,0,0.0256402,0.0077742,0.00648172,0.00978433,0.00981116,0.010481,0,0,0.0132523,0.0134359,0.0109206,0.0142264,0.0231094,0.0271936,0.0227111,0.0178067,0.00582347,0.00367771,0.00545352,0.0114698,0,0.0212692,0.00572314,0.0115735,0.0118989,0,0,0.00218555,0.00277327,0.0162562,0.0154337,0.00836352,0.0050854,0.007531,0.0130903,0.0092729,0.012799,0.0115169,0.00942897,0.0165493,0.0164305,0.0165234,0.0168936,0.0162286,0.00763229,0
0,0.00720287,0.0123404,0.0256197,0.0124953,0.015707,0,0.0294797,0.0110024,0.00445864,0.0073597,0.010788,0.0141994,0,0,0.0274594,0.0151879,0.00628505,0.019824,0.0457718,0.0396784,0.0433295,0.0355176,0.00995266,0.00120384,0.0025117,0.00412678,0,0.0272305,0.0100241,0.0194074,0.0206611,0,0,0.00728015,0.00824192,0.0130728,0.0164631,0.00251887,0.0037521,0.0150366,0.0108603,0.00524704,0.00654091,0.00336298,0.00491033,0.00994173,0.0110589,0.00759188,0.00933913,0.00550297,0.00500955,0
1,0.00776324,0.0126112,0.0253327,0.010397,0.0138241,0,0.0291971,0.00974076,0.00557351,0.00750282,0.0110768,0.0146101,0,0,0.0247296,0.0126915,0.00607919,0.017332,0.0429838,0.0363381,0.0400013,0.0324331,0.0104243,0.00113767,0.00278925,0.00417746,0,0.0271087,0.00908988,0.0190427,0.0202513,0,0,0.00716891,0.00808357,0.0136287,0.0172279,0.00346159,0.00497268,0.0165851,0.0112566,0.00601727,0.00614211,0.00330041,0.00461421,0.00711978,0.00896819,0.00597492,0.00871392,0.00562621,0.00545533,0
2,0.008375,0.0122764,0.0252738,0.00974689,0.0124519,0,0.0289418,0.00883202,0.00650192,0.00718664,0.0113841,0.014964,0,0,0.0226807,0.0109528,0.00611811,0.0154419,0.0408572,0.0338437,0.037232,0.0297997,0.0113342,0.0012325,0.00309249,0.00410323,0,0.0268556,0.00830247,0.0185796,0.0197309,0,0,0.00689938,0.00775981,0.0142623,0.0174897,0.00424301,0.00564038,0.0170364,0.0111276,0.00667429,0.00639365,0.00436728,0.00492021,0.00501486,0.00764989,0.00524199,0.00788752,0.00642924,0.00566837,0
3,0.00910679,0.0114604,0.0257082,0.0105933,0.0115418,0,0.0286833,0.00814924,0.00698162,0.00625219,0.0115676,0.0151085,0,0,0.0210952,0.00972705,0.00588032,0.0140793,0.0389103,0.0332584,0.03459,0.0269438,0.0119041,0.00118581,0.00321441,0.00394853,0,0.0262275,0.00741423,0.0177003,0.0187949,0,0,0.00617662,0.00699122,0.0155803,0.0174513,0.00456287,0.00542568,0.0158808,0.0103385,0.00653577,0.00604709,0.00474369,0.00501263,0.00330028,0.0072564,0.00583968,0.00695022,0.00786484,0.00547946,0
4,0.010137,0.00977691,0.0264397,0.011577,0.0115088,0,0.02815,0.00743161,0.00786892,0.00523121,0.0114208,0.0148075,0,0,0.0194187,0.00855513,0.00550076,0.0126372,0.0374272,0,0.0323704,0,0.0119288,0.00118153,0.00317677,0.0051274,0,0.0254315,0.00632265,0.0164841,0.0174839,0,0,0.00534587,0.00609557,0.0168626,0.017271,0.00485928,0.00506853,0.0143276,0.0101588,0.00619701,0.00547769,0.00480987,0.00523408,0.00347328,0.00794958,0.00787298,0.00741457,0.0100381,0.00522964,0
5,0.011103,0.00824277,0.0270869,0.0112541,0.0118522,0,0.0275161,0.00698263,0.00872821,0.00528186,0.0109761,0.0141189,0,0,0.0169969,0.00723103,0.00507474,0.0106434,0.036064,0,0.0304722,0,0.0120517,0.00137171,0.0031668,0.00716187,0,0.0247001,0.0053934,0.0154119,0.0162922,0,0,0.00464212,0.0053605,0.018002,0.0171794,0.00543587,0.00485434,0.0130878,0.0105243,0.00576665,0.00528632,0.00490231,0.00521712,0.00513215,0.00868514,0.00975427,0.00882863,0.0118754,0.00512797,0
6,0.0121625,0.00706283,0.0280665,0.0104791,0.0130891,0,0.0268158,0.00645075,0.008913,0.00571632,0.0102852,0.0130822,0,0,0.014793,0.00643257,0.00411649,0.00878906,0.0354015,0,0.0296893,0,0.0121596,0.00184957,0.00327044,0.00987483,0,0.0238665,0.00439347,0.0142301,0.0149658,0,0,0.00392018,0.00462374,0.0198577,0.0171427,0.00586265,0.00482213,0.0113949,0.0110578,0.00490449,0.0050882,0.00482712,0.0049803,0.00716928,0.00986472,0.0118049,0.0106748,0.0137578,0.00488784,0
7,0.0123205,0.00594265,0.0273946,0.0104241,0.0123927,0,0.0265899,0.00669246,0.00968463,0.00528941,0.0100064,0.012424,0,0,0.014694,0.00635427,0.00293478,0.00874277,0.0332018,0,0.0280961,0,0.0116136,0.00216874,0.00346226,0.00988424,0,0.0235195,0.0042605,0.0138608,0.0145358,0,0,0.00373114,0.00433493,0.019755,0.0158008,0.00640403,0.00454408,0.0108596,0.0108726,0.00384401,0.00551877,0.00496785,0.00390978,0.00839618,0.00951741,0.0122722,0.0110191,0.0139604,0.00497211,0
8,0.0124982,0.0048769,0.0266231,0.00969914,0.0116909,0,0.0263558,0.00689265,0.00984168,0.00500755,0.00962082,0.0116619,0,0,0.0154865,0.00776277,0.0027119,0.00929666,0.0309454,0.120853,0.0267537,0,0.010934,0.0025421,0.00373557,0.00950084,0,0.0231661,0.00417053,0.0135373,0.01414,0,0,0.00354949,0.00406247,0.0194284,0.0142497,0.00689314,0.00425183,0.0104302,0.0107879,0.00277404,0.00569095,0.00489895,0.00306672,0.00925475,0.00946251,0.0127103,0.0110825,0.0141405,0.00513279,0
9,0.0125924,0.00403636,0.0259785,0.00836881,0.0113249,0,0.0261995,0.00708335,0.00976601,0.00499008,0.00923562,0.010913,0,0,0.0153194,0.00875106,0.00337681,0.00892584,0.0289472,0,0.0260003,0.0170461,0.00969531,0.00294717,0.00407265,0.00956358,0,0.0229042,0.00416355,0.013394,0.0139592,0,0,0.00347296,0.00391412,0.0196262,0.0131908,0.00732413,0.0039511,0.0100845,0.0107825,0.00177251,0.00574988,0.00476219,0.00258974,0.00979819,0.00967895,0.0131678,0.0112201,0.014417,0.00534864,0
10,0.0127403,0.00337864,0.0253318,0.006511,0.0111613,0,0.0260694,0.00723062,0.00943957,0.0049841,0.00885172,0.0101986,0,0,0.0157017,0.0102794,0.00465323,0.00888265,0.0271894,0,0.0256745,0,0.00810564,0.00337511,0.00448534,0.00954805,0,0.0226554,0.00415138,0.0132991,0.0138504,0,0,0.00340839,0.0037993,0.019873,0.012233,0.007645,0.00362564,0.00979917,0.0108465,0.000879414,0.00563658,0.00451237,0.00260049,0.00978563,0.00973094,0.0134145,0.0112789,0.014635,0.00553787,0
11,0.0129029,0.00323968,0.0246494,0.00432642,0.0111599,0,0.0259836,0.00735733,0.00910016,0.00513652,0.00853168,0.00957288,0,0,0.0162025,0.0119141,0.00602298,0.00897302,0.0256104,0,0.0255125,0,0.00653896,0.00378989,0.00494924,0.00948221,0,0.0224607,0.00414699,0.0132861,0.013835,0,0,0.00335951,0.00376764,0.0201659,0.0114203,0.00781972,0.00326923,0.00953392,0.010997,0.000224712,0.00548569,0.00421452,0.00297852,0.00946128,0.00964159,0.0135121,0.0113724,0.0147926,0.00566751,0
12,0.0130759,0.00351294,0.0239964,0.00218378,0.0113443,0,0.0259528,0.00746361,0.008855,0.00537909,0.00830073,0.00906654,0,0,0.0165856,0.0134773,0.00731895,0.00901746,0.0242758,0,0.0255019,0,0.00551287,0.00415943,0.00543257,0.00944274,0,0.0223012,0.00414512,0.0133144,0.0138982,0,0,0.00333445,0.00373617,0.0205305,0.0108707,0.00800541,0.00301347,0.00930596,0.0111165,0.000829102,0.00536754,0.00400036,0.00348255,0.00871095,0.00918842,0.0132608,0.0114002,0.0147357,0.00578332,0
13,0.013228,0.00409944,0.0233604,0.00130797,0.0116547,0,0.0259699,0.00754046,0.00872519,0.00560029,0.00818129,0.00869871,0,0,0.0168962,0.0151159,0.00873347,0.00910416,0.0233135,0,0.0256359,0,0.00540307,0.00446279,0.00590981,0.00940287,0,0.0221874,0.00416571,0.0133808,0.0140054,0,0,0.00331551,0.00374028,0.020883,0.0105308,0.00813367,0.00281382,0.00910598,0.011319,0.0015502,0.00545336,0.00395295,0.00406903,0.00808634,0.00876991,0.0130098,0.0115668,0.0146319,0.00587742,0
14,0.0134235,0.00551368,0.0227511,0.00259536,0.0119132,0,0.0259794,0.00754596,0.00871276,0.00577834,0.00814195,0.00845119,0,0,0.0174264,0.0173061,0.0107417,0.00966669,0.0226277,0.124278,0.0257148,0,0.00592009,0.00470353,0.00636796,0.00912699,0,0.0220359,0.00415377,0.0133597,0.0140084,0,0,0.00322906,0.00368659,0.0209431,0.0102576,0.0082759,0.00269504,0.0090202,0.0116507,0.00222587,0.00571293,0.00405764,0.00467155,0.0077077,0.00845738,0.0128244,0.0118238,0.0145345,0.0059756,0
15,0.0134167,0.00525177,0.0223778,0.00372118,0.012406,0,0.026082,0.0075795,0.00883591,0.00603713,0.00822298,0.00838154,0,0,0.017184,0.018778,0.0124491,0.00965548,0.0226942,0,0.0265242,0.0220516,0.0064873,0.00485684,0.00673884,0.00933283,0,0.0220338,0.00426481,0.0134933,0.0141938,0,0,0.00324027,0.00374079,0.0214329,0.0106024,0.00840153,0.00268559,0.00892321,0.0119929,0.00278258,0.00612201,0.00433485,0.00520872,0.00791358,0.00856075,0.0129095,0.0122927,0.0145364,0.00609244,0
