Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.00670917,0.019184,0.0166334,0.00967687,0.00618935,0,0.0271004,0.00715383,0.00804794,0.010515,0.0104669,0.0113486,0,0,0.00911128,0.0117196,0.00982508,0.00849842,0.0148513,0.0180493,0.0133597,0.0111241,0.00997013,0.00354696,0.00601035,0.00616927,0,0.0230094,0.00519975,0.0123495,0.0133597,0,0,0.00335782,0.00396842,0.0204001,0.0149921,0.0094471,0.00566919,0.00922507,0.00788734,0.00641534,0.0096721,0.00828404,0.00618227,0.00976845,0.00968231,0.00943082,0.00966669,0.00962172,0.00787918
0,0.00454067,0.0273951,0.0198851,0.0187644,0.00342745,0,0.0271261,0.00622216,0.00904751,0.0198318,0.00707151,0.0108463,0,0,0.0095811,0.0105728,0.00409921,0.012911,0.026888,0.0217747,0.0191748,0.0140054,0.0219057,0.00182271,0.00159421,0.00595843,0,0.0271367,0.00429458,0.017119,0.0183724,0,0,0.00663025,0.00746083,0.0189699,0.0184544,0.00610196,0.00459437,0.00622393,0.00718183,0.00324139,0.00609552,0.00366531,0.00265553,0.00718076,0.00675699,0.00387068,0.00604935,0.00245866,0.00136398
1,0.00449474,0.0268658,0.0198931,0.019927,0.00303273,0,0.0272211,0.00589625,0.0112555,0.0220155,0.00767472,0.0116832,0,0,0.0103805,0.0105364,0.00279729,0.0132607,0.026827,0.0217775,0.0196283,0.014657,0.0240665,0.00177858,0.0013905,0.00519699,0,0.0271541,0.00397516,0.0170569,0.0183006,0,0,0.00663634,0.00750274,0.0197741,0.0181274,0.00475682,0.0039384,0.00729773,0.00661674,0.00188473,0.00457851,0.00130676,0.000614055,0.00473168,0.00490537,0.00133089,0.00364264,0.000648494,0.00119874
2,0.0046336,0.025659,0.0200226,0.0185746,0.00249931,0,0.0272104,0.00567415,0.0104346,0.0210229,0.00812628,0.0122451,0,0,0.0106816,0.0100257,0.00320482,0.0129761,0.0266081,0.0217051,0.0193533,0.0147248,0.0236199,0.00147119,0.00150811,0.00449964,0,0.0269741,0.0036425,0.0168252,0.0180904,0,0,0.00636167,0.00724521,0.020336,0.0177454,0.00364985,0.00338485,0.00870772,0.00610033,0.00224451,0.00391039,0.00113408,0.00121576,0.00308347,0.00396006,0.00162571,0.00175216,0.0029387,0.00260036
3,0.00475233,0.0243495,0.0201112,0.0143068,0.00199913,0,0.027192,0.00545385,0.00654687,0.0163369,0.00858157,0.01273,0,0,0.00992901,0.00907045,0.0057891,0.0115434,0.0259684,0.0213145,0.0181749,0.0138814,0.0200437,0.00125951,0.00156064,0.00386924,0,0.0267883,0.00332933,0.0165669,0.0178331,0,0,0.0061172,0.00701644,0.0208723,0.0173642,0.00349042,0.00355274,0.01005,0.00570995,0.00336573,0.00437118,0.00305475,0.00293557,0.00247197,0.00391165,0.00385557,0.00201504,0.00520547,0.00373321
4,0.00527776,0.0230192,0.0204819,0.0106821,0.00239808,0,0.0268784,0.00542845,0.004,0.0105763,0.00855863,0.0124783,0,0,0.00914249,0.00850688,0.0087799,0.0104684,0.0252583,0.0208164,0.0167473,0.0128758,0.0159793,0.000676291,0.00229492,0.00377052,0,0.0262653,0.00301391,0.0160059,0.017364,0,0,0.00546153,0.00635487,0.0210898,0.0173533,0.00393567,0.00370802,0.0115474,0.00567798,0.00440132,0.00511365,0.00418859,0.00421974,0.00272906,0.00457792,0.00602253,0.00371416,0.00755224,0.0053645
5,0.005473,0.0219871,0.0208413,0.0102016,0.00283613,0,0.0266435,0.00520759,0.00678275,0.00498015,0.00860238,0.0123025,0,0,0.0085877,0.00850498,0.0116042,0.0101344,0.0239753,0.0200408,0.014682,0.0117733,0.0125757,0.000662771,0.00251718,0.00378007,0,0.0258444,0.00267546,0.0153805,0.0168509,0,0,0.00514804,0.00591117,0.0217995,0.01732,0.00467515,0.0040631,0.0120637,0.00545849,0.00528627,0.00654222,0.00572286,0.00550877,0.00358727,0.00493489,0.00717364,0.00452499,0.00864172,0.00587791
6,0.0054083,0.020441,0.0206912,0.0102516,0.00305243,0,0.026556,0.00506675,0.00736965,0.00445534,0.00884036,0.0122392,0,0,0.00900037,0.00684479,0.0102607,0.00927209,0.0230358,0.0191893,0.0139095,0.0116462,0.0128828,0.00073381,0.00257827,0.00370558,0,0.0256482,0.0025469,0.0150639,0.0164782,0,0,0.0049445,0.00565999,0.0214929,0.0167382,0.00554814,0.00414625,0.0121631,0.00526339,0.00592282,0.0075696,0.00683676,0.00633849,0.00433349,0.00522278,0.00779505,0.00471757,0.00917827,0.00586184
7,0.0053334,0.0186733,0.0205381,0.010347,0.00331707,0,0.0264338,0.00495329,0.00796647,0.00404481,0.00894256,0.0119604,0,0,0.00924885,0.00504069,0.00883518,0.00848531,0.0218431,0.018023,0.0130822,0.011229,0.0130747,0.000845816,0.00267564,0.00384817,0,0.0253968,0.0024587,0.0146957,0.0160229,0,0,0.00469999,0.00535815,0.0208479,0.0159848,0.00632926,0.00390677,0.0118702,0.00513197,0.00620494,0.00809417,0.00748894,0.00670585,0.00481327,0.00513587,0.0078407,0.00459159,0.0091741,0.0057099
8,0.00527942,0.0166603,0.0203929,0.0104068,0.0036014,0,0.0262871,0.00486856,0.00852868,0.00394327,0.00891183,0.0115071,0,0,0.00935243,0.00335566,0.00743583,0.0079385,0.0204199,0.0165393,0.0123592,0.0105718,0.0130149,0.00100358,0.00281547,0.00411902,0,0.0250997,0.00241054,0.0142981,0.0155152,0,0,0.00442411,0.00502269,0.0199432,0.0150592,0.0069929,0.00348332,0.0113663,0.00505289,0.00620748,0.00819655,0.00779388,0.00669073,0.0050708,0.00478683,0.00749758,0.00430058,0.00880667,0.00556533
9,0.00527111,0.0144395,0.020232,0.0103208,0.00391612,0,0.0261339,0.00481876,0.00904398,0.00436615,0.00877048,0.0109403,0,0,0.00940637,0.0025138,0.00615204,0.00766832,0.0188259,0.0147532,0.0119272,0.0098414,0.0125834,0.00121834,0.00300322,0.00440144,0,0.0247754,0.00239885,0.0139004,0.0150067,0,0,0.00413433,0.00466688,0.0189111,0.0140038,0.00752866,0.0030275,0.0108522,0.00501798,0.0060447,0.008047,0.00789,0.00643606,0.00519375,0.00436192,0.00699947,0.00401498,0.00830298,0.0054882
10,0.00532115,0.0121283,0.0199968,0.00996552,0.0042922,0,0.0259931,0.00481484,0.00952129,0.00537317,0.00855521,0.0103316,0,0,0.00954336,0.00340297,0.00513362,0.00762316,0.0171482,0.0126955,0.0119279,0.00930111,0.0117152,0.00149284,0.00323268,0.00460474,0,0.0244476,0.00241494,0.0135385,0.0145449,0,0,0.00385433,0.00432696,0.0179067,0.0128788,0.00793467,0.00263776,0.0104769,0.00502936,0.00581537,0.00779034,0.00787126,0.00609022,0.00527134,0.00403011,0.00653418,0.00387076,0.00785413,0.00545495
11,0.00543819,0.00997399,0.0196256,0.0092206,0.00470895,0,0.0258837,0.00486757,0.00996069,0.00677542,0.00830261,0.00974395,0,0,0.00983557,0.00520647,0.00465173,0.00771829,0.0154905,0.0104296,0.0123939,0.00921756,0.0104301,0.00182328,0.00348719,0.00466953,0,0.0241279,0.00244599,0.0132371,0.0141495,0,0,0.0036153,0.00407646,0.0170766,0.0117727,0.00822695,0.00235807,0.0103053,0.00509857,0.00558934,0.00749233,0.00777925,0.00576398,0.00535224,0.0038725,0.00619106,0.00392393,0.0075626,0.00539567
12,0.00560489,0.00823723,0.0190558,0.00798762,0.00518071,0,0.0258202,0.0049995,0.0103552,0.00826547,0.00805663,0.0092338,0,0,0.0103384,0.00723465,0.00491237,0.00792436,0.0139695,0.00814557,0.0132044,0.00973814,0.00886504,0.00221529,0.00380498,0.00461236,0,0.0238442,0.00248273,0.0129975,0.0138635,0,0,0.00341929,0.00382428,0.016492,0.0107106,0.00840548,0.00218633,0.0103095,0.00521866,0.00537186,0.00715229,0.0076009,0.00548764,0.0054445,0.00386864,0.00598144,0.00416625,0.00743742,0.00528449
13,0.00581479,0.00726807,0.0182996,0.00623394,0.00563399,0,0.0258134,0.00520648,0.01065,0.00951985,0.00784748,0.0088288,0,0,0.0109783,0.00924201,0.00576045,0.00815913,0.0127321,0.00601049,0.0142232,0.0108105,0.00732897,0.00264097,0.00416326,0.0044782,0,0.0235932,0.0025174,0.0128199,0.0136546,0,0,0.00328972,0.00365141,0.0162052,0.00977793,0.00849624,0.00212082,0.0104224,0.00537866,0.0051649,0.00676017,0.00733464,0.00525833,0.00549151,0.00392408,0.00586442,0.00454525,0.00743177,0.00510894
14,0.00605289,0.00718234,0.017422,0.00411491,0.00602624,0,0.0258693,0.00547313,0.0108891,0.0104412,0.00769758,0.00853105,0,0,0.0116026,0.0111148,0.00692834,0.00839895,0.0118535,0.00419797,0.0152626,0.012241,0.0063993,0.00307911,0.00456798,0.00435152,0,0.0233756,0.00255267,0.0126909,0.0135091,0,0,0.00322094,0.00354416,0.0162145,0.00904366,0.00852697,0.00213912,0.0105662,0.00555994,0.00495658,0.00632395,0.00699286,0.00505632,0.00544311,0.00394653,0.00579833,0.00499709,0.00748441,0.00489432
15,0.00629197,0.00787298,0.0165073,0.00211843,0.00641327,0,0.025997,0.00577122,0.0115041,0.0115215,0.00762371,0.00832456,0,0,0.0119026,0.0128001,0.00838125,0.00881646,0.0110029,0.00596978,0.0159621,0.0136111,0.00674775,0.00350834,0.00501526,0.00434259,0,0.0232056,0.00260047,0.0126216,0.0134419,0,0,0.00320751,0.00350305,0.0164475,0.00852112,0.00852213,0.00219368,0.0106722,0.00574142,0.00474117,0.00588059,0.00661341,0.00487211,0.00532438,0.00389088,0.00575811,0.00544783,0.00754278,0.00468047
