Timestep,C7,LARM,LASI,LELB,LFOREARM,LHEEL,LLEPI,LLMAL,LMFL,LMFS,LP1MT,LP5MT,LPAT,LSH,LTHAD,LTHAP,LTHLD,LTHLP,LTIAD,LTIAP,LTILAT,LTOE,LWR,MAN,P1,P2,P3,RARM,RASI,RELB,RFOREARM,RHEEL,RLEPI,RLMAL,RMFL,RMFS,RP1MT,RP5MT,RPAT,RSH,RTHAD,RTHAP,RTHLD,RTHLP,RTIAD,RTIAP,RTILAT,RTOE,RWR,SACR,T7,x52,x53,
All Timesteps RMSE,0.00668864,0.00735942,0.0118805,0.00887377,0.00844393,0.0149163,0.015572,0.0119518,0.00968257,0.00953007,0.00871782,0.0116128,0,0.00844832,0.0138032,0.0151635,0.0123116,0.0128957,0.00891011,0.00960881,0.0111206,0.010692,0.00821953,0.00831824,0,0,0,0.00760004,0.0102258,0.00625392,0.00780322,0.0170138,0.0208846,0.0143853,0.00974615,0.0114496,0.0132912,0.0222744,0,0.00570391,0.0137675,0.0159648,0.0140728,0.0169927,0.0089876,0.0110523,0.0160785,0.0491791,0.00746164,0.0120111,0.0062371,0,0,0
0,0.00585665,0.00911941,0.020826,0.00645754,0.00982404,0.0098097,0.0167236,0.00949207,0.00625216,0.0092426,0.00697869,0.0191808,0,0.00918341,0.00866779,0.00807648,0.00557023,0.00656432,0.0101174,0.00640178,0.0189296,0.00730855,0.0106168,0.00602923,0,0,0,0.00926218,0.0195913,0.00575933,0.00857014,0.00795333,0.0361683,0.0218319,0.0121108,0.0164451,0.0201975,0.0167386,0,0.00772318,0.0152685,0.0207362,0.0127431,0.0144184,0.00871202,0.0166804,0.0299569,0.022689,0.00703342,0.00423355,0.0016898,0,0,0
1,0.00500144,0.00953807,0.0184798,0.00459899,0.0111368,0.0102997,0.01611,0.0093238,0.00733155,0.00976779,0.00968276,0.00627349,0,0.0101193,0.00568353,0.00717529,0.00597738,0.0229212,0.0107869,0.00735757,0.0198127,0.0162956,0.0114185,0.00606204,0,0,0,0.0119093,0.0179841,0.00825452,0.00824003,0.00443169,0.0335498,0.0221385,0.0112747,0.0123322,0.0147335,0.0165612,0,0.00805686,0.016404,0.0209183,0.0114291,0.014202,0.014991,0.0134762,0.0262086,0.0159524,0.00723726,0.00281366,0.0021401,0,0,0
2,0.00430689,0.00889916,0.0163359,0.00386922,0.011045,0.0103879,0.0137396,0.00966271,0.00703983,0.00628122,0.00583984,0.00738441,0,0.00994273,0.00743364,0.00900985,0.0103777,0,0.0110685,0.00813418,0.018848,0.00828811,0.0107234,0.0067107,0,0,0,0.0129579,0.0154181,0.00840717,0.00899316,0.00477479,0.0289837,0.0214627,0.00803633,0.0166391,0.0184914,0.01558,0,0.00830084,0.0179714,0.0208888,0.00968877,0.0123117,0.00975763,0.0108652,0.0226368,0,0.00785893,0.00279703,0.00310146,0,0,0
3,0.00434431,0.00868756,0.0138228,0.00409267,0.0112134,0.0123489,0.0136417,0.0077729,0.00753484,0.00503896,0.00613857,0.00963191,0,0.00940702,0.004237,0.00906708,0.0107151,0.0170576,0.0102794,0.00783149,0.0189055,0.0105585,0.010902,0.00763863,0,0,0,0.0132969,0.0132462,0.00906975,0.00914706,0.00595229,0.0250973,0.0211991,0.00669497,0.0152333,0.0177885,0.0132923,0,0.00880756,0.0206749,0.0211628,0.00988682,0.0123019,0.00471007,0.00989035,0.0206982,0,0.00823269,0.00156618,0.00347083,0,0,0
4,0.00440296,0.00712995,0.0130886,0.00397364,0.011229,0.0135783,0.00809187,0.0057972,0.00915515,0.00297938,0.00857498,0.00962458,0,0.00871105,0.0069025,0.0111946,0.0142818,0,0.00989722,0.00875309,0.0158206,0.0100018,0.00922182,0.00882721,0,0,0,0.0127481,0.0122695,0.00993306,0.00942672,0.00537376,0.0201938,0.0196345,0.00531377,0.00549985,0.0146927,0.0097342,0,0.0100894,0.0223315,0.0222709,0.00934881,0.0112783,0.00408427,0.00938164,0.0196197,0.0100445,0.0092628,0.0030789,0.00330236,0,0,0
5,0.00552396,0,0.0125638,0.00581645,0.0101355,0.014537,0.002455,0.00409526,0.0108692,0.00141266,0.0110465,0.0103278,0,0.00843748,0.00767494,0.0130218,0.0124502,0.00635194,0.00914008,0.00997595,0.0142599,0.01023,0.00736222,0.00905174,0,0,0,0.0115369,0.0115262,0.0084872,0.00979902,0.00690942,0.0164207,0.018691,0.00580757,0.00467935,0.0118852,0.00732216,0,0.0113657,0.0231025,0.0232629,0.00839503,0.0101506,0.00552051,0.00883587,0.0196195,0.00990321,0.00929494,0.00379194,0.00274247,0,0,0
6,0.00585623,0,0.00890075,0.00671091,0.00993515,0.0154833,0.00160947,0.0030447,0.0109154,0.00143585,0.0119116,0.0119089,0,0.00799977,0.00783831,0.0158105,0.00964505,0.00407496,0.00883061,0.010191,0.0127746,0.0104478,0.00827064,0.00964151,0,0,0,0.0108346,0.00861204,0.00906948,0.0105991,0.00873234,0.0130363,0.0182279,0.00638886,0.0091668,0.0116766,0.00799085,0,0.0119895,0.0234813,0.0241779,0.00790873,0.010063,0.00570386,0.00801054,0.0195992,0.00731317,0.00957915,0.00514681,0.00283128,0,0,0
7,0.00648996,0,0.00465424,0.00730478,0.00957869,0.0158806,0.00490755,0.00287779,0.0114468,0.00188622,0.0119931,0.0129008,0,0.00755032,0.00629886,0.017736,0.0089681,0.0079151,0.00845874,0.0103256,0.0109029,0.0104731,0.0093091,0.00984153,0,0,0,0.0108448,0.00557291,0.0100971,0.0100171,0.00947347,0.0102316,0.0180329,0.00653504,0.0138096,0.0100956,0.0106418,0,0.0119177,0.023444,0.0250531,0.00878328,0.0110385,0.0051407,0.00703337,0.0198866,0.00877933,0.00888642,0.00662102,0.00312002,0,0,0
8,0.00726865,0,0.00176467,0,0.00436791,0.0155831,0.00605036,0.00394494,0.0117425,0.0021585,0.0115809,0.0132922,0,0.00624465,0.00555854,0.0183222,0.00876292,0.00825276,0.00778944,0.0100605,0.00926221,0.0105715,0.00515187,0.0102727,0,0,0,0.0106246,0.00370546,0.0109872,0.00915534,0.00969074,0.00793072,0.0174036,0.00688138,0.0144182,0.00744144,0.0147271,0,0.0117284,0.0229959,0.0250545,0.0102816,0.0122184,0.00516486,0.00594843,0.0206329,0.00929644,0.00841709,0.00782206,0.00309083,0,0,0
