Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0207398,0.00959355,0.0102608,0.0126254,0.0131653,0,0.0341202,0.0148599,0.0125572,0.0146784,0.0153925,0.0153988,0,0,0.0175861,0.0258948,0.0248236,0.0132547,0.0155873,0.0134641,0.0172754,0.0156234,0.015001,0.00508788,0.00686536,0.0152069,0,0.0362334,0.0137036,0.0140049,0.0134852,0,0,0.00515472,0.00608469,0.0102673,0.01139,0.011375,0.0116922,0.0120161,0.0162655,0.0162931,0.0270729,0.0287536,0.0154827,0.0243166,0.0156995,0.0184562,0.027736,0.0223474,0.0139909,0
0,0.0195964,0.00888084,0.00801286,0.00885908,0.0114989,0,0.00515675,0.00510112,0.00487784,0.00390341,0.0112299,0.0085697,0,0,0.0163487,0.01674,0.00935476,0.0118678,0.0161352,0.0248043,0.0176924,0.0165005,0.00764764,0.00208008,0.00622908,0.0146683,0,0.0122221,0.00577355,0.0115688,0.0082506,0,0,0.00323785,0.0067136,0.00658145,0.0101892,0.00875762,0.0075558,0.00689237,0.0240605,0.00437579,0.0248754,0.0211505,0.00763658,0.0126332,0.0112686,0.0172386,0.0141327,0.0175622,0.00835564,0
1,0.0196454,0.0089481,0.00796196,0.00884344,0.0114469,0,0.00501602,0.00514239,0.00488478,0.00386569,0.0111941,0.00854729,0,0,0.0166896,0.0166533,0.00933527,0.0118024,0.0160238,0.0245859,0.0175548,0.0163679,0.00768944,0.00207998,0.00622101,0.0147038,0,0.0122301,0.0057689,0.0115776,0.00815631,0,0,0.00327193,0.00673807,0.00647171,0.0101597,0.00870768,0.00742693,0.00675621,0.0240267,0.00425266,0.024763,0.0213193,0.0076386,0.012719,0.0111617,0.0171454,0.014133,0.0175666,0.00838304,0
2,0.0197079,0.00898239,0.00793645,0.00884285,0.0114158,0,0.00507599,0.00513595,0.00488053,0.0038326,0.0112001,0.0085529,0,0,0.0168387,0.016662,0.00921553,0.0116824,0.0159236,0.0242804,0.0173509,0.0163158,0.00771214,0.00206042,0.00617836,0.0147243,0,0.0122336,0.0057711,0.0115963,0.00813425,0,0,0.00328523,0.00676885,0.00641916,0.0101306,0.00874999,0.00735849,0.00667766,0.0239243,0.00420932,0.0247046,0.021441,0.00750469,0.0128246,0.0110459,0.0169301,0.0141732,0.0176189,0.00843841,0
3,0.019728,0.00898894,0.00792394,0.00887763,0.0114016,0,0.0052285,0.00510328,0.0048853,0.00380408,0.0111999,0.00853638,0,0,0.0169109,0.0167353,0.00905963,0.0115007,0.0157829,0.0239433,0.0170551,0.01635,0.00775979,0.0020419,0.00611942,0.0147315,0,0.0122565,0.00580984,0.0116009,0.00811003,0,0,0.00328155,0.00678245,0.00641743,0.0100931,0.00880801,0.00738759,0.00663697,0.0237512,0.00415559,0.024644,0.0214407,0.00726711,0.0128687,0.0109039,0.0168366,0.0141967,0.0176584,0.00850158,0
4,0.0196872,0.00898957,0.00789305,0.00894092,0.0113892,0,0.00528251,0.00508529,0.00490252,0.00377845,0.0111351,0.00848852,0,0,0.0170556,0.0167994,0.0089905,0.0113476,0.0156502,0.023714,0.0167775,0.016397,0.00785168,0.0020509,0.00609441,0.0147178,0,0.0122933,0.00588354,0.0115954,0.00805945,0,0,0.00327421,0.00678661,0.0064175,0.010054,0.00880382,0.00744221,0.00659244,0.0235477,0.00401255,0.024528,0.0213701,0.00698333,0.0127784,0.0107548,0.0169565,0.0141911,0.0176148,0.00853637,0
5,0.0196712,0.00900338,0.00784021,0.00902125,0.0113686,0,0.00527586,0.00506221,0.00492344,0.00376171,0.0110543,0.00843451,0,0,0.0171902,0.01683,0.00902478,0.0112408,0.0155405,0.0234906,0.0165722,0.0163529,0.00795476,0.00207445,0.00611704,0.0146999,0,0.0123097,0.00595818,0.0116143,0.00804135,0,0,0.00326771,0.00680192,0.00641153,0.0100388,0.00879692,0.00745594,0.00652231,0.0233602,0.00386643,0.0243975,0.0213741,0.00664546,0.0126673,0.0105443,0.016931,0.0142857,0.0175146,0.00858825,0
6,0.019708,0.00901715,0.00776605,0.00909111,0.0113408,0,0.00533173,0.00502817,0.00495447,0.0037503,0.0110123,0.0083904,0,0,0.0172261,0.0168662,0.0090576,0.0111325,0.0153597,0.023156,0.0163943,0.0162246,0.00802007,0.00208638,0.00616239,0.014706,0,0.01231,0.00602413,0.011647,0.00803535,0,0,0.00327571,0.00680525,0.00640051,0.0100191,0.00884113,0.00747306,0.00644958,0.0231721,0.00386548,0.0242985,0.0214317,0.00630819,0.0127238,0.0103159,0.0166669,0.0144502,0.0173858,0.00865906,0
7,0.0197201,0.00899965,0.00766872,0.00914891,0.0113072,0,0.00540003,0.0050232,0.00500047,0.00373114,0.0109681,0.00830684,0,0,0.0171675,0.0169768,0.00897661,0.0110002,0.0150269,0.022765,0.016196,0.0161089,0.00806579,0.00208292,0.00617849,0.0147427,0,0.012318,0.00604187,0.0116718,0.00798956,0,0,0.00331832,0.00680012,0.00638793,0.00997456,0.00890015,0.00751406,0.00637522,0.0228241,0.00404682,0.0241998,0.021456,0.00605997,0.0128944,0.0100635,0.0164509,0.0144972,0.0172977,0.00871724,0
8,0.0197102,0.00894465,0.00756044,0.00920693,0.0112747,0,0.00538134,0.0050528,0.00502912,0.00370416,0.0108716,0.00814367,0,0,0.0170481,0.0171716,0.0088326,0.0108545,0.0146874,0.0224416,0.0159885,0.0160901,0.0081045,0.0020651,0.00611366,0.0147918,0,0.0123321,0.0059582,0.0117079,0.00794446,0,0,0.00336066,0.00683571,0.00637646,0.00992202,0.00892645,0.0075021,0.00627851,0.0222638,0.00419301,0.0240722,0.0214979,0.0058375,0.0129674,0.00975997,0.0163304,0.0143512,0.0173444,0.00874009,0
