Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0180368,0.0084179,0.0113631,0.0104778,0.0122123,0,0.0332967,0.0148195,0.0131774,0.0136827,0.0148294,0.0138617,0,0,0.0174664,0.0245142,0.023424,0.0144338,0.0174705,0.0154053,0.0184215,0.0162207,0.0121038,0.00452039,0.00677719,0.0128504,0,0.0399448,0.0123353,0.0149481,0.0152452,0,0,0.00451018,0.0061757,0.0109809,0.0124341,0.00843125,0.0108838,0.0107425,0.0165724,0.0166439,0.0255349,0.0274006,0.0158554,0.0211366,0.0141661,0.0166786,0.0233177,0.0193159,0.00957345
0,0.0193035,0.00747154,0.00740581,0.0087647,0.0108097,0,0.0043345,0.00495147,0.00600514,0.0035034,0.0128407,0.0128167,0,0,0.0176166,0.0183488,0.0107917,0.0131623,0.015906,0.0236259,0.0168657,0.016867,0.00762061,0.00170055,0.00600286,0.0137617,0,0.0147112,0.00398503,0.0121697,0.00817723,0,0,0.00420749,0.00776267,0.00528142,0.00886992,0.0091517,0.00804744,0.00634869,0.0230056,0.00243732,0.0270065,0.0234711,0.00723813,0.0141717,0.00746962,0.016343,0.0173008,0.0197478,0.00891232
1,0.0193425,0.00754107,0.00742701,0.00875781,0.0108076,0,0.004238,0.00498182,0.00604555,0.00354748,0.0128614,0.0128818,0,0,0.0175631,0.0183892,0.0107284,0.0131145,0.0158949,0.0235423,0.0169457,0.0168394,0.00758288,0.001728,0.00601099,0.0137955,0,0.0146952,0.00392432,0.0121596,0.00820975,0,0,0.00418574,0.00776861,0.00524268,0.00894725,0.00912645,0.00785113,0.00640181,0.0228498,0.00234621,0.0268291,0.0232074,0.00718172,0.0140447,0.00738156,0.0161843,0.0173881,0.0196358,0.00900966
2,0.0193513,0.0076101,0.00748091,0.00876383,0.010789,0,0.00422608,0.00497428,0.0060129,0.00360105,0.0128026,0.0128724,0,0,0.017555,0.0183312,0.0106623,0.013017,0.0159002,0.023462,0.0171179,0.0167894,0.00759816,0.00175761,0.00601234,0.0138416,0,0.0146819,0.00392551,0.0121716,0.00826047,0,0,0.00418535,0.00776822,0.00522106,0.00900627,0.00910811,0.00775344,0.00641624,0.0228181,0.00231575,0.0268641,0.0231251,0.00724912,0.0144932,0.00728616,0.0160623,0.0174783,0.0196512,0.00904273
3,0.0193186,0.00762891,0.00753965,0.00875886,0.0107782,0,0.00426658,0.00494339,0.00597228,0.00364777,0.012692,0.0128043,0,0,0.0175927,0.01825,0.0106253,0.0129353,0.0159312,0.023387,0.0172529,0.0167554,0.00760834,0.00178207,0.00599953,0.0138755,0,0.0146864,0.00396008,0.0121732,0.00829515,0,0,0.00418918,0.00774232,0.00521427,0.00904044,0.00910804,0.00775873,0.00640416,0.0227968,0.00232407,0.0269151,0.0231113,0.00737097,0.0153322,0.00722227,0.0163455,0.0175795,0.0197364,0.00902827
4,0.0192848,0.00760361,0.00757388,0.00873048,0.0107851,0,0.00429273,0.00492911,0.0059952,0.00367125,0.0126166,0.0127712,0,0,0.0176278,0.0182112,0.0106213,0.0129087,0.0159905,0.0233761,0.0172637,0.0167622,0.0075652,0.00180273,0.00600156,0.0138939,0,0.0147123,0.00397112,0.012136,0.00827307,0,0,0.00416825,0.00768989,0.00521106,0.0090603,0.0091157,0.00782233,0.0063891,0.0227198,0.00229995,0.0267882,0.0230865,0.00742999,0.0158912,0.00720785,0.0169899,0.017643,0.0198203,0.00899866
5,0.0192893,0.00759901,0.00760329,0.00869955,0.0107998,0,0.00430151,0.00495189,0.00602368,0.00368602,0.0126152,0.0128258,0,0,0.0176416,0.0181664,0.0106266,0.0129225,0.0160634,0.0234442,0.0172575,0.0167998,0.00751831,0.00182144,0.00603508,0.0139304,0,0.0147485,0.00396161,0.0121012,0.00823635,0,0,0.00413439,0.00765575,0.00519904,0.00908288,0.00911827,0.00789015,0.00636776,0.0226832,0.00220051,0.0266418,0.0231696,0.00735228,0.0160181,0.00718261,0.0173518,0.0176474,0.0198906,0.008977
6,0.0193121,0.00762292,0.0076524,0.0086693,0.010821,0,0.00431982,0.00499341,0.00600979,0.00369558,0.0126692,0.0129141,0,0,0.0176379,0.0180928,0.0106339,0.0129742,0.0161231,0.0234861,0.0172818,0.0168382,0.00749939,0.0018273,0.00605314,0.0140035,0,0.0147852,0.00395163,0.0121282,0.00826512,0,0,0.00412244,0.00768897,0.00516719,0.00913484,0.00911815,0.0079391,0.00636435,0.0226918,0.00212244,0.0266289,0.0233485,0.00713747,0.0160921,0.00712598,0.0172157,0.0176957,0.019915,0.00898956
7,0.0193223,0.00762263,0.00771042,0.008632,0.0108535,0,0.00434535,0.00501707,0.00598539,0.00368902,0.012756,0.0129823,0,0,0.0176016,0.018056,0.0106526,0.0130566,0.0161804,0.0234896,0.0173109,0.016853,0.00747516,0.00182396,0.00603364,0.0140813,0,0.0148172,0.00394914,0.0121885,0.00833496,0,0,0.004137,0.00774218,0.00512166,0.00921971,0.00912162,0.00800041,0.00639589,0.0226451,0.00214242,0.0265284,0.023369,0.0069042,0.0162383,0.0070496,0.0170154,0.0178133,0.0198943,0.00902565
8,0.0193235,0.00758246,0.00774969,0.00859391,0.0108875,0,0.00437302,0.00499893,0.00594774,0.00367182,0.0128583,0.0130515,0,0,0.0175333,0.0180747,0.0106715,0.0131304,0.0162811,0.0235338,0.0173431,0.0168522,0.00743171,0.0018349,0.00602876,0.0141436,0,0.0148484,0.00398517,0.0121843,0.00831981,0,0,0.00414782,0.00770072,0.00506697,0.00931348,0.00912392,0.00807963,0.00641945,0.0225244,0.00222992,0.0262859,0.0232051,0.00671943,0.0163301,0.00694876,0.0169967,0.0178548,0.0198646,0.00904843
