Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0197059,0.0104527,0.0125986,0.00900525,0.0124179,0,0.0409642,0.0153418,0.0115451,0.0125165,0.0138213,0.0168433,0,0,0.0158549,0.0216792,0.0211553,0.0141803,0.0163662,0.0155853,0.016057,0.0141695,0.0103745,0.00526251,0.00619724,0.0136131,0,0.0395876,0.0135096,0.014759,0.0155768,0,0,0.00555514,0.00647141,0.012969,0.0135127,0.00885854,0.0114015,0.0125475,0.0166901,0.0173884,0.024493,0.0266794,0.0160399,0.0216294,0.0157791,0.0176492,0.0237912,0.0199967,0.0106122
0,0.0127944,0.00704197,0.00551169,0.00880178,0.0100216,0,0.00454463,0.00438835,0.00668407,0.00333304,0.00971026,0.0035407,0,0,0.0169321,0.0186351,0.0104964,0.012257,0.0139634,0.0246304,0.0152945,0.0142683,0.0087597,0.00307464,0.00723824,0.0127992,0,0.0121885,0.00580661,0.0143032,0.00489266,0,0,0.00587014,0.0093423,0.00515139,0.00650234,0.00841356,0.007891,0.00459404,0.0188056,0.00385775,0.0236381,0.0217427,0.00337051,0.0128567,0.00622907,0.0154561,0.0142257,0.0158333,0.00936719
1,0.0128433,0.00705049,0.00546989,0.00877553,0.0100174,0,0.00459214,0.00460764,0.00667568,0.00336933,0.00944673,0.00321917,0,0,0.0169657,0.0184964,0.0105161,0.0120718,0.0143602,0.0246735,0.0152386,0.0141028,0.00877574,0.00314378,0.00727456,0.0127698,0,0.012232,0.00601692,0.0143995,0.0048238,0,0,0.00592403,0.00937583,0.0051112,0.00648481,0.00841132,0.00781664,0.00447313,0.0183962,0.00448496,0.0236076,0.0216662,0.00323113,0.0124044,0.00608762,0.01397,0.0137594,0.0151989,0.00941122
2,0.0128739,0.00704201,0.00541315,0.00875185,0.010023,0,0.00459451,0.00477991,0.00667612,0.00336682,0.00940999,0.00322079,0,0,0.0169424,0.0183847,0.0105851,0.0119592,0.0145054,0.0247306,0.0152024,0.0140629,0.00879713,0.00323211,0.0073735,0.0127564,0,0.0122861,0.0061411,0.0144784,0.00476643,0,0,0.00597453,0.00950988,0.00506263,0.00640972,0.00837557,0.00778876,0.00442844,0.0179952,0.00505156,0.0236001,0.0219373,0.00314321,0.0121281,0.00597058,0.0131437,0.013285,0.014975,0.00943889
3,0.0129047,0.00706249,0.00537643,0.00875787,0.0100051,0,0.00452855,0.00489894,0.00670894,0.00334525,0.0096537,0.00338783,0,0,0.0169559,0.0183275,0.0106829,0.011853,0.0144167,0.024866,0.0151536,0.0141292,0.00882738,0.0032534,0.00753137,0.0127195,0,0.0122944,0.00621143,0.0146172,0.00473975,0,0,0.00606094,0.00971013,0.00502282,0.0063511,0.00835993,0.00783127,0.00444068,0.017771,0.00563516,0.0236589,0.0224072,0.00328441,0.012036,0.0060282,0.0128681,0.0128636,0.0148724,0.00945842
4,0.0129153,0.00712408,0.00533872,0.00880835,0.00993053,0,0.00453637,0.00499666,0.00678464,0.00335401,0.00988878,0.00354993,0,0,0.0171714,0.0183602,0.0107253,0.0116414,0.0142348,0.0250457,0.0150262,0.0142075,0.00889938,0.00328338,0.00776162,0.0127301,0,0.0122679,0.00628395,0.014743,0.00472801,0,0,0.0061976,0.00978536,0.00492456,0.00634118,0.00839393,0.00792336,0.00443508,0.0177222,0.0061507,0.0236292,0.0226535,0.00360596,0.0118479,0.00608153,0.0126527,0.0125215,0.0144834,0.00953086
5,0.0129221,0.00723961,0.00527987,0.00888785,0.00979525,0,0.00468003,0.00512467,0.00688108,0.00340549,0.00997376,0.00359648,0,0,0.0174604,0.0183832,0.0106601,0.0113173,0.0140561,0.0251811,0.0149335,0.014252,0.00901089,0.00337461,0.00801027,0.0127668,0,0.0122642,0.00636488,0.0147771,0.00466001,0,0,0.00629824,0.00975478,0.00476604,0.00633705,0.00843655,0.00796307,0.00442455,0.0176263,0.00636354,0.0232698,0.0225203,0.00364976,0.0112111,0.00569654,0.0121988,0.0121677,0.0139036,0.00966667
6,0.0129716,0.00732824,0.00522025,0.00897405,0.00970005,0,0.0047249,0.00528915,0.00692867,0.00340549,0.0100326,0.0035971,0,0,0.0173405,0.0182644,0.0105794,0.011002,0.0140305,0.0252896,0.0149713,0.0143131,0.00909953,0.00346055,0.00814741,0.0127436,0,0.012262,0.00639192,0.0148218,0.00460058,0,0,0.00633133,0.00980791,0.00465259,0.0062714,0.00844561,0.00799822,0.00448133,0.0174202,0.0063831,0.0227888,0.0223052,0.00350512,0.0104327,0.00495698,0.011592,0.0119039,0.0134676,0.00983345
7,0.0130355,0.00730004,0.00519085,0.0090499,0.00970175,0,0.00455318,0.00536876,0.0068887,0.00329063,0.0100444,0.00364965,0,0,0.0167501,0.0181131,0.0105945,0.0107846,0.0142342,0.0253921,0.0148151,0.0144582,0.0091226,0.00350432,0.00819212,0.0126464,0,0.0121975,0.00635205,0.0149219,0.00457206,0,0,0.00638598,0.00991627,0.00462642,0.00613418,0.00847563,0.00811966,0.00455218,0.0171516,0.00661694,0.0226197,0.0223378,0.00363019,0.0101732,0.00435869,0.0111041,0.011781,0.0131189,0.00996714
8,0.0130946,0.00722114,0.00518069,0.00910815,0.00969624,0,0.00435178,0.00530283,0.00682905,0.00315695,0.00982458,0.00378415,0,0,0.0163212,0.0181023,0.0106564,0.0106161,0.0144562,0.0253722,0.0143466,0.0146223,0.00912565,0.00357338,0.00826135,0.0125493,0,0.012056,0.00637908,0.0149781,0.00449432,0,0,0.00647397,0.00995095,0.00461981,0.0059945,0.00855933,0.00824439,0.00454746,0.016783,0.00711676,0.0227346,0.0225382,0.00400965,0.0103877,0.00408769,0.010785,0.0116259,0.012654,0.0100324
