Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0127604,0.0080166,0.00883951,0.00882302,0.0116543,0,0.00753391,0.00606808,0.0113917,0.0101639,0.00597862,0.00749226,0,0,0.0109655,0.0167064,0.0166798,0.00817422,0.00859438,0.00627279,0.0109233,0.00985922,0.0112656,0.00205806,0.00190101,0.0120965,0,0.00922413,0.00661547,0.00592899,0.00672062,0,0,0.00307991,0.00168633,0.00945447,0.00887791,0.00952859,0.00973738,0.0103154,0.0140913,0.00913093,0.017926,0.0184448,0.00754609,0.00973479,0.00580584,0.00922802,0.0118342,0.0119124,0.00942539
0,0.0112722,0.00456064,0.011656,0.0112514,0.00171719,0,0.0105689,0.00333612,0.0139406,0.00993024,0.00954194,0.00465484,0,0,0.0136288,0.0191517,0.0224353,0.0117142,0.0131625,0.00562496,0.0164749,0.0128124,0.0112661,0.00165955,0.0027615,0.00377603,0,0.0127411,0.00467035,0.00731299,0.00455693,0,0,0.0024012,0.00162377,0.00505593,0.0108868,0.0107329,0.0127052,0.00635491,0.0145683,0.0115469,0.0174765,0.019423,0.00949936,0.0107249,0.00380265,0.00753694,0.0146211,0.0124062,0.00796956
1,0.0112183,0.00455522,0.0116067,0.011266,0.00173094,0,0.0105526,0.00310624,0.0139361,0.00991723,0.00961373,0.00491585,0,0,0.0136313,0.0191307,0.0224303,0.0115806,0.0131671,0.00576675,0.0164853,0.0128317,0.0112929,0.00166703,0.00276382,0.00380359,0,0.012838,0.00462392,0.00743644,0.00465522,0,0,0.00235329,0.00165296,0.00502377,0.0107782,0.0108209,0.0126315,0.00634851,0.0148631,0.011444,0.0174457,0.019356,0.00940496,0.0108057,0.00341861,0.00762459,0.0146751,0.0124922,0.00794797
2,0.0111907,0.00456658,0.011597,0.01127,0.00174065,0,0.0105639,0.00310138,0.0139343,0.00992958,0.00968595,0.00510051,0,0,0.0136336,0.0191449,0.0224269,0.0115853,0.0131594,0.00582791,0.0164847,0.0128376,0.0113094,0.0016655,0.00276361,0.00381874,0,0.0128581,0.00482805,0.0074391,0.00463763,0,0,0.00233606,0.00166235,0.00500845,0.0107623,0.0108452,0.0126252,0.00638818,0.0148614,0.011441,0.0174573,0.0194041,0.00937023,0.0108027,0.00331926,0.00762094,0.0146942,0.0125121,0.00794039
3,0.0112114,0.0045713,0.0116077,0.0112523,0.00173198,0,0.0105799,0.00322138,0.0139426,0.00995638,0.00973858,0.00509895,0,0,0.0136082,0.0191686,0.0224332,0.0116032,0.0131532,0.00574816,0.0164683,0.0128082,0.0113101,0.00167202,0.00276707,0.00382335,0,0.0128545,0.00491643,0.00740367,0.00449654,0,0,0.00234558,0.00164083,0.00499952,0.0108125,0.0108082,0.0126393,0.00643802,0.0146225,0.0115144,0.0174951,0.0195087,0.00939804,0.0107449,0.00349906,0.00756532,0.01465,0.012463,0.00794757
4,0.0112882,0.00454353,0.0115576,0.0112254,0.00172053,0,0.010522,0.00331694,0.0139562,0.00995749,0.00980531,0.00505757,0,0,0.0135726,0.0191588,0.0224391,0.0115605,0.0131525,0.00563647,0.016466,0.0127764,0.0112948,0.00169208,0.00277956,0.00382783,0,0.0129347,0.00422267,0.00749803,0.00442775,0,0,0.00233338,0.00162127,0.00497857,0.0107649,0.0107711,0.0126232,0.00644335,0.0144838,0.011552,0.0174992,0.0195222,0.00941381,0.0107457,0.00361669,0.00755231,0.0145992,0.0124403,0.0079499
5,0.0114009,0.00448887,0.0114448,0.0112114,0.00172672,0,0.0103903,0.00328327,0.013961,0.0099318,0.00988884,0.00511931,0,0,0.0135651,0.0191318,0.0224283,0.0115459,0.0131522,0.00558819,0.0164924,0.0127789,0.0112773,0.00170742,0.00279434,0.00383348,0,0.0130923,0.0033896,0.0076911,0.00452136,0,0,0.00227732,0.00164112,0.00495074,0.0105994,0.0107679,0.0126028,0.00640217,0.0145434,0.0115051,0.0174662,0.019465,0.0093691,0.0108184,0.00349506,0.00761212,0.014636,0.0125065,0.00793523
6,0.0114906,0.00443056,0.0113746,0.0112098,0.00172709,0,0.0103014,0.00323777,0.013962,0.00992158,0.0099149,0.00510896,0,0,0.0135703,0.0191312,0.022411,0.0115561,0.0131555,0.00559585,0.0165102,0.0127869,0.0112759,0.00170794,0.00280636,0.00383334,0,0.0132063,0.00326173,0.00781091,0.00458333,0,0,0.00223417,0.00167746,0.00493276,0.0105107,0.0107659,0.012617,0.00637482,0.0146396,0.0114603,0.0174618,0.0194744,0.0093379,0.0108548,0.00348642,0.00767836,0.0147053,0.0125681,0.00792122
7,0.0115226,0.00440068,0.0113828,0.0112102,0.00170728,0,0.0103083,0.00327115,0.0139707,0.00993511,0.00988778,0.00494294,0,0,0.0135672,0.0191545,0.0224088,0.0115442,0.0131577,0.00562999,0.0165038,0.0127824,0.0112904,0.00170736,0.00282186,0.00382398,0,0.0132192,0.00326123,0.00783277,0.00451154,0,0,0.00224353,0.00167817,0.00492,0.0105616,0.01074,0.0126628,0.00639384,0.0145569,0.0114918,0.0174986,0.0195367,0.00939167,0.0108172,0.00375246,0.00766309,0.0146864,0.0125162,0.00792578
8,0.0115274,0.00441145,0.0114143,0.0112117,0.00169543,0,0.0103409,0.00333327,0.0139749,0.00993849,0.00988113,0.00482039,0,0,0.0135661,0.0191723,0.0224217,0.0115509,0.013163,0.00565395,0.0165022,0.0127867,0.0113085,0.00171127,0.00283811,0.00380674,0,0.013183,0.00326622,0.0078475,0.00446015,0,0,0.00227446,0.00164952,0.00490242,0.0106237,0.0107215,0.0126865,0.00641199,0.014467,0.0115232,0.0175125,0.0195507,0.00945624,0.0107743,0.00397213,0.00758198,0.0146434,0.0124163,0.00794054
