Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0147583,0.00926007,0.0131802,0.018265,0.0168639,0,0.0109483,0.0076275,0.012716,0.0246226,0.0091301,0.00833312,0,0,0.0123896,0.023222,0.0229385,0.0122353,0.0107899,0.00623609,0.0139613,0.0112931,0.027074,0.00289922,0.00245191,0.0143829,0,0.0123077,0.0073647,0.00837758,0.00917937,0,0,0.0032763,0.00194907,0.0104561,0.0127312,0.010818,0.00950531,0.0093161,0.0138743,0.0103031,0.0189,0.0200958,0.00858897,0.00991757,0.0056574,0.0093788,0.0122963,0.0120988,0.00962155,0
0,0.0134669,0.00272498,0.0108789,0.0153544,0.00322877,0,0.00880305,0.00380759,0.0141176,0.0167607,0.00629333,0.00421972,0,0,0.0162213,0.0220705,0.0236067,0.0121324,0.0173096,0.00842083,0.0223228,0.0156375,0.0196478,0.0023227,0.00414022,0.00246237,0,0.0102898,0.00143492,0.00685817,0.00479324,0,0,0.00211482,0.00354768,0.00378291,0.0123401,0.00818681,0.0171503,0.00556119,0.0176794,0.012682,0.0157641,0.0198578,0.0119679,0.0156523,0.00693629,0.0122901,0.0222197,0.0184974,0.00735895,0
1,0.0135392,0.00256511,0.010829,0.0153149,0.00318813,0,0.00840035,0.00337845,0.0140835,0.0169113,0.00625277,0.00415321,0,0,0.0162353,0.0221334,0.0236196,0.0121033,0.0173957,0.00838399,0.0223566,0.0156354,0.0199995,0.00226456,0.00413589,0.00256492,0,0.0106781,0.00386624,0.00713292,0.0050294,0,0,0.00203207,0.00355683,0.00379654,0.0122863,0.00825047,0.0171155,0.00554428,0.0176011,0.0126609,0.0157697,0.0198153,0.0119435,0.0160045,0.00661491,0.0122563,0.0222632,0.0184116,0.0073109,0
2,0.0135697,0.00248265,0.0107943,0.0152904,0.003202,0,0.00827267,0.00320995,0.0140752,0.0169382,0.00623103,0.00421151,0,0,0.0162264,0.0221538,0.0236319,0.0120524,0.0173975,0.00835177,0.0223915,0.0156267,0.0201185,0.00226305,0.00413649,0.00255772,0,0.0108285,0.00489309,0.00725498,0.0050829,0,0,0.00201703,0.00355768,0.00373649,0.0123155,0.00831704,0.017107,0.00553927,0.0175942,0.0126718,0.0157563,0.019796,0.0119254,0.016187,0.00662916,0.0122645,0.0222486,0.0183854,0.00730925,0
3,0.013578,0.00247068,0.0107802,0.0152371,0.00321031,0,0.00840715,0.00326861,0.0140759,0.0166686,0.0062653,0.00424078,0,0,0.0161598,0.0221264,0.0236346,0.011952,0.0174189,0.00830366,0.0224559,0.0156209,0.0200545,0.00228735,0.00414084,0.00250604,0,0.0107473,0.00444376,0.00721002,0.00502221,0,0,0.00205129,0.00354148,0.0036979,0.0123731,0.00838075,0.0171073,0.00553503,0.0176946,0.0126615,0.0157624,0.0197947,0.0119026,0.0162185,0.00678347,0.0123186,0.0222196,0.0184099,0.00728765,0
4,0.0135694,0.00245522,0.0107746,0.015191,0.00316024,0,0.00860638,0.00342719,0.0140873,0.0163124,0.00632315,0.0041297,0,0,0.0160675,0.0221048,0.0236211,0.0118406,0.0174994,0.0082406,0.0225279,0.0156129,0.0198958,0.00229875,0.00414624,0.00248783,0,0.0105793,0.00349018,0.00708032,0.00503216,0,0,0.00207911,0.00352954,0.0037265,0.0123957,0.00840408,0.0171093,0.00552177,0.0177968,0.0126144,0.0158066,0.0197697,0.0118805,0.0161614,0.00682602,0.0123651,0.0222278,0.0184349,0.00721845,0
5,0.0135301,0.0024172,0.0107638,0.0152073,0.00311603,0,0.00869114,0.00357421,0.01411,0.0162584,0.00631297,0.00405559,0,0,0.0160284,0.0221327,0.0235975,0.011798,0.0175279,0.00820892,0.0225716,0.0155954,0.0198051,0.00229833,0.00414643,0.0024735,0,0.0104366,0.00274799,0.00695259,0.00514285,0,0,0.00208038,0.00353731,0.00368063,0.0124133,0.0083705,0.0171137,0.00550334,0.0177879,0.0125929,0.0158375,0.0197042,0.0118735,0.0160609,0.00679375,0.0123384,0.0222482,0.0184361,0.00718249,0
6,0.013495,0.00239466,0.0107492,0.0152227,0.00313749,0,0.00865222,0.00365008,0.0141105,0.0163949,0.00624719,0.00411007,0,0,0.0160431,0.0221666,0.0235903,0.0118313,0.0175165,0.00821127,0.0226192,0.0155988,0.0199434,0.00229376,0.00414031,0.00243055,0,0.0103796,0.00243602,0.00687018,0.00521457,0,0,0.00206979,0.00352175,0.00349069,0.0124549,0.00834916,0.0170886,0.00547667,0.0177442,0.0125877,0.0158115,0.0196465,0.0118625,0.0160347,0.00682473,0.012263,0.0222465,0.0184364,0.00720979,0
7,0.0134746,0.00233593,0.0107191,0.0151981,0.00318261,0,0.00858803,0.00360054,0.0140906,0.0163994,0.00621545,0.00412284,0,0,0.0160538,0.02215,0.0236235,0.011881,0.0175728,0.0081787,0.0226973,0.015645,0.0201293,0.0022873,0.00414354,0.00239546,0,0.0104288,0.002656,0.00686051,0.00518216,0,0,0.00206602,0.00346768,0.00326548,0.012502,0.008388,0.0170203,0.00542632,0.0177384,0.0125298,0.0157483,0.0196757,0.011826,0.0161087,0.00693757,0.0122365,0.0222474,0.0184461,0.00723794,0
8,0.0134351,0.00213229,0.0106486,0.0151756,0.00318926,0,0.00850675,0.00341731,0.0140797,0.0163515,0.00621653,0.00399823,0,0,0.0160464,0.0221096,0.0236703,0.011899,0.0176688,0.00810714,0.0227839,0.0157095,0.02021,0.0022988,0.00416472,0.00241041,0,0.0105747,0.00346369,0.00692193,0.0051424,0,0,0.00205245,0.00343222,0.00307664,0.012514,0.00841341,0.0169647,0.00536886,0.0177069,0.0124426,0.0156917,0.0197507,0.0118013,0.0161901,0.00695576,0.0122714,0.0222912,0.0184427,0.00722557,0
