Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0121867,0.0113584,0.0142787,0.009398,0.0113232,0,0.0113677,0.00791456,0.0101787,0.00857741,0.0109715,0.0111398,0,0,0.0102626,0.0147424,0.0143463,0.00784596,0.00906938,0.00712432,0.0108549,0.00968277,0.00934532,0.00532241,0.00405891,0.0117627,0,0.013214,0.00781129,0.0103898,0.00980003,0,0,0.00597174,0.00419226,0.0118623,0.0144604,0.00958462,0.00923868,0.0103397,0.0133555,0.00865416,0.0166951,0.0162678,0.00770128,0.00890676,0.00613893,0.00855537,0.0110172,0.0108016,0.00898727
0,0.0116804,0.00312017,0.0129006,0.00874655,0.00019894,0,0.0090626,0.00276394,0.0131434,0.0054219,0.00765424,0.00552908,0,0,0.0137789,0.016759,0.020087,0.0122824,0.0141737,0.00726427,0.0180161,0.0129301,0.00647944,0.00233409,0.00169768,0.00544184,0,0.0135438,0.00396634,0.007296,0.00504691,0,0,0.00167968,0.00113175,0.0058753,0.0118957,0.0128888,0.0134169,0.00891975,0.0172373,0.0122225,0.0196716,0.0225517,0.0101785,0.0110505,0.00251399,0.00744832,0.015924,0.0128591,0.00923007
1,0.0117158,0.00316371,0.0128793,0.00873713,0.00021908,0,0.00906706,0.00276399,0.0131205,0.00542227,0.0076748,0.0055119,0,0,0.0137817,0.0167689,0.0200685,0.0122527,0.0141372,0.00722045,0.0180208,0.0129308,0.00647957,0.00226736,0.00162054,0.00545094,0,0.0135925,0.00417924,0.00734059,0.00507542,0,0,0.00166751,0.00114975,0.00583412,0.0118897,0.0128983,0.013456,0.00892838,0.0172239,0.0121741,0.0196513,0.022475,0.0101813,0.0110794,0.00240638,0.00746295,0.0159297,0.0128141,0.0092284
2,0.0116702,0.00320349,0.0129162,0.00871534,0.000176855,0,0.0092296,0.00287388,0.013126,0.00542527,0.00772493,0.00551852,0,0,0.0137717,0.0167608,0.0200854,0.0122482,0.0141176,0.00721708,0.0180197,0.0129257,0.00647614,0.00225887,0.00160684,0.00542023,0,0.0134847,0.00350935,0.00724289,0.00497692,0,0,0.00169509,0.00117509,0.00581543,0.0119577,0.0128978,0.0134523,0.00894015,0.0172242,0.0121554,0.0196579,0.0224529,0.0101828,0.0110694,0.00237977,0.00745248,0.0158341,0.0128813,0.00923
3,0.011606,0.00321132,0.0129813,0.00870712,0.000109433,0,0.00943417,0.00305471,0.0131497,0.00544583,0.00776396,0.00552521,0,0,0.0137636,0.0167428,0.020101,0.012265,0.0141086,0.00722759,0.018035,0.0129276,0.00648148,0.00228617,0.00164563,0.0053787,0,0.013327,0.00289984,0.00707723,0.00480479,0,0,0.0017522,0.00119853,0.00581441,0.0120827,0.0128978,0.0134378,0.00894017,0.0172302,0.012144,0.0196682,0.022478,0.0101859,0.0110307,0.00242953,0.00744969,0.0157181,0.0129735,0.0092302
4,0.0115872,0.00321216,0.0130198,0.00872407,8.41595e-05,0,0.00950815,0.00316107,0.0131522,0.00547341,0.00777043,0.00551425,0,0,0.0137665,0.0167366,0.0200806,0.0122766,0.0140914,0.00720137,0.0180617,0.0129373,0.00649077,0.00230209,0.00168763,0.0053668,0,0.0132779,0.00292589,0.00699235,0.00471291,0,0,0.00179343,0.00120871,0.00581302,0.0121899,0.0129005,0.0134426,0.00892223,0.017229,0.0121175,0.0196596,0.0225247,0.010197,0.0110175,0.00248696,0.00746669,0.0157013,0.012958,0.00922159
5,0.0115754,0.00322874,0.0130421,0.00873056,0.000114482,0,0.0094918,0.00318185,0.0131225,0.00547402,0.0077826,0.00548474,0,0,0.0137537,0.0167452,0.0200495,0.0122536,0.0140576,0.0071464,0.0180531,0.0129403,0.00648115,0.00229647,0.0017009,0.00538305,0,0.0133011,0.00293864,0.00698948,0.00475569,0,0,0.00179466,0.00121638,0.00580495,0.0122557,0.0128914,0.0134408,0.00890906,0.0172115,0.0121031,0.0196432,0.0225589,0.0102132,0.0110562,0.00246923,0.00747182,0.0157406,0.0128765,0.00920799
6,0.0115548,0.00323304,0.0130601,0.00870875,0.00016229,0,0.00943476,0.00314988,0.0130963,0.00544732,0.00780618,0.00544277,0,0,0.0137287,0.0167523,0.0200348,0.0121988,0.0140233,0.00712365,0.0180101,0.0129335,0.00646084,0.00228155,0.00168196,0.00539626,0,0.0133751,0.00283636,0.00704552,0.0048875,0,0,0.00175009,0.00124268,0.00578791,0.0122852,0.0128686,0.0134173,0.00890148,0.017185,0.0121197,0.0196275,0.0225475,0.0102074,0.0111135,0.00240314,0.00746317,0.0157545,0.0128484,0.00919909
7,0.0115657,0.00329571,0.0130565,0.00869229,0.000229734,0,0.00932636,0.00304045,0.0130981,0.00543016,0.00781844,0.0054055,0,0,0.0137374,0.016749,0.0200461,0.0121676,0.014,0.00712757,0.0179859,0.012913,0.00645792,0.00227792,0.00165229,0.00537158,0,0.0135484,0.00288334,0.00718022,0.00503697,0,0,0.00167578,0.00127945,0.00575085,0.0122707,0.0128433,0.0133944,0.00886702,0.0171728,0.0121281,0.0196204,0.0225122,0.0101608,0.011138,0.00241047,0.007461,0.015806,0.0128712,0.00919241
8,0.011588,0.00348831,0.0130665,0.00870726,0.000330469,0,0.00931894,0.00299207,0.0131016,0.00542798,0.00784532,0.00539536,0,0,0.0137103,0.0167546,0.0200842,0.0121606,0.0139607,0.00707139,0.0179885,0.0128854,0.00646314,0.00228664,0.00163933,0.0053227,0,0.0136583,0.00305045,0.00726202,0.0050911,0,0,0.0016447,0.00128524,0.00570575,0.0122733,0.0128298,0.0133897,0.00881262,0.0171747,0.0121064,0.019632,0.0224937,0.0101109,0.0111262,0.00247895,0.00746026,0.0159418,0.0128633,0.00918421
