Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0167169,0.00854491,0.00969754,0.00647527,0.0121968,0,0.0122947,0.00916206,0.0105835,0.0101322,0.00750636,0.00902361,0,0,0.0105301,0.0160847,0.0148129,0.00762254,0.00727862,0.00769859,0.0077564,0.00929323,0.00811083,0.0038987,0.00506946,0.0126978,0,0.0127605,0.00942975,0.00944654,0.00920356,0,0,0.00572637,0.0056875,0.0100247,0.00892292,0.00601407,0.00943894,0.0120798,0.0150844,0.00733709,0.017891,0.0174472,0.00646191,0.0106387,0.00643076,0.00964943,0.00960581,0.0109373,0.00749584
0,0.0135704,0.00780283,0.00815441,0.00712665,0.00822267,0,0.00729142,0.00697158,0.0110367,0.0132699,0.0116592,0.0093225,0,0,0.0126127,0.0173954,0.0115146,0.00481441,0.00729567,0.0110579,0.0079248,0.0102623,0.00978143,0.00240122,0.00611662,0.00791403,0,0.0141504,0.00746336,0.00992794,0.00891645,0,0,0.00532415,0.00811843,0.00771944,0.00695213,0.00688343,0.0104552,0.0178442,0.0194554,0.00291273,0.0196887,0.0152313,0.00590675,0.00734827,0.00834253,0.0118457,0.00786967,0.00928801,0.00821916
1,0.0136127,0.00776455,0.0082414,0.00710024,0.00827401,0,0.00733723,0.00696863,0.0109969,0.0133483,0.0116753,0.00934751,0,0,0.0126328,0.0174337,0.0114623,0.00482583,0.00730911,0.0110618,0.00796162,0.0102785,0.00981043,0.00240559,0.00606937,0.00791813,0,0.0141796,0.00747564,0.00981997,0.00890565,0,0,0.00532131,0.00802141,0.00770797,0.00695392,0.00689123,0.0106994,0.0178091,0.0194636,0.0029314,0.0197372,0.0154547,0.00583205,0.00746793,0.00840767,0.0118297,0.00794312,0.00937963,0.00819481
2,0.0136223,0.00772844,0.00825546,0.00701461,0.0082952,0,0.00733888,0.00700642,0.0109333,0.0136144,0.0117167,0.00938356,0,0,0.012663,0.0174779,0.0115509,0.00482119,0.00732799,0.0110923,0.00800747,0.0103172,0.00987446,0.00240468,0.00603765,0.00792228,0,0.0142092,0.00749016,0.00975278,0.00886086,0,0,0.00531663,0.00798503,0.00771619,0.00695261,0.00688922,0.0107597,0.0177899,0.0195082,0.00295479,0.0197543,0.0154061,0.00584555,0.0075046,0.0084225,0.0118063,0.00793197,0.00939669,0.00818728
3,0.0136169,0.00772646,0.00823179,0.00693753,0.00829015,0,0.0073354,0.00705943,0.0108946,0.0137966,0.0117161,0.00936045,0,0,0.012672,0.0175029,0.0116518,0.0048213,0.00732788,0.0110937,0.00803522,0.0103794,0.00979461,0.00238928,0.00599204,0.00791543,0,0.0142316,0.00750054,0.00974811,0.0088304,0,0,0.00530613,0.00798506,0.00775594,0.0069744,0.00687812,0.0107059,0.0177908,0.019514,0.00295917,0.0197753,0.0152734,0.00589457,0.00746366,0.00841032,0.0118098,0.00790498,0.00938097,0.0081925
4,0.0136127,0.00776035,0.00821209,0.00693157,0.00827992,0,0.00735233,0.00706421,0.0109111,0.0136902,0.0116531,0.00923363,0,0,0.0126454,0.0175087,0.0116317,0.00484092,0.00730644,0.011027,0.00803102,0.0104266,0.00953501,0.00234858,0.00588529,0.00789199,0,0.0142562,0.00750744,0.00978362,0.00883093,0,0,0.00530146,0.00800155,0.00782711,0.00702213,0.00686629,0.0106569,0.0178014,0.0194453,0.00291501,0.0197882,0.0152568,0.00592039,0.00743107,0.00838092,0.0118502,0.00793326,0.00938548,0.00819763
5,0.0135988,0.00777652,0.00820534,0.00696072,0.00827755,0,0.00736096,0.00705837,0.0109472,0.0135201,0.0116242,0.00910254,0,0,0.0126209,0.0175197,0.011576,0.00485892,0.00729719,0.0109543,0.00801549,0.0104124,0.0093426,0.00229928,0.00573981,0.00787622,0,0.0143093,0.0075351,0.00980267,0.00882114,0,0,0.00531488,0.00802796,0.00786819,0.00703155,0.00687146,0.0106317,0.0178041,0.0193768,0.00286331,0.0197528,0.0152905,0.00594112,0.00743701,0.00831511,0.0118799,0.00796317,0.00937726,0.00820053
6,0.0135855,0.00775321,0.00822702,0.00698811,0.00828069,0,0.0073613,0.00713573,0.0109694,0.0134839,0.0116473,0.00905685,0,0,0.0126252,0.0175238,0.0115728,0.00485548,0.00730963,0.0109581,0.00800263,0.0103538,0.00938548,0.00228345,0.00565073,0.00789524,0,0.014382,0.00759823,0.00979469,0.00881482,0,0,0.00533211,0.00802193,0.00784727,0.00698108,0.00688768,0.0106434,0.0177864,0.0193418,0.00288139,0.0197253,0.015298,0.00595659,0.0074257,0.00823477,0.0118832,0.00793863,0.00933403,0.00820743
7,0.0135927,0.00772705,0.00825738,0.00699914,0.00828206,0,0.00738551,0.0072522,0.0109661,0.0135706,0.0116326,0.00902896,0,0,0.0126405,0.017518,0.0115968,0.00484189,0.00732553,0.0110301,0.00800213,0.0103212,0.00955306,0.00228999,0.0056476,0.00793734,0,0.0144428,0.00766899,0.00981115,0.00883448,0,0,0.00533864,0.00800556,0.00787016,0.00698744,0.00687994,0.0106826,0.0177595,0.0193317,0.00293962,0.0197436,0.015292,0.00594162,0.00741161,0.0081864,0.0118945,0.00790903,0.00930795,0.00821029
8,0.0135983,0.00772004,0.00825994,0.00696436,0.00828776,0,0.00743457,0.00730334,0.0109346,0.0137271,0.0116418,0.00900373,0,0,0.0126497,0.0175267,0.0116293,0.00483339,0.00734394,0.0110837,0.00802683,0.0103354,0.00966031,0.00226805,0.00565694,0.00797204,0,0.0144984,0.00771849,0.00984079,0.00880132,0,0,0.00534319,0.00805874,0.00793504,0.00708283,0.006859,0.0106878,0.0177519,0.0193571,0.00293687,0.0197286,0.0152863,0.00591647,0.00746447,0.00819482,0.0119323,0.00794213,0.00933156,0.00819208
