Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0181664,0.00838693,0.0100302,0.00583961,0.0125058,0,0.012724,0.010657,0.0110824,0.0115091,0.00780682,0.00817666,0,0,0.0105653,0.0156294,0.0144248,0.00643984,0.00698435,0.00727843,0.00769532,0.00864317,0.00866632,0.00680913,0.00705542,0.0121663,0,0.0182287,0.0108085,0.0112883,0.0109074,0,0,0.00836927,0.00740683,0.0116344,0.00917412,0.00620294,0.00755806,0.0107978,0.0133941,0.00721576,0.0158177,0.0149415,0.00649316,0.00839615,0.00627922,0.00852026,0.00652894,0.00924917,0.00750294,0
0,0.0139205,0.00466408,0.0115398,0.00652911,0.0119733,0,0.00822726,0.00698506,0.0131277,0.0154782,0.0112773,0.0116625,0,0,0.0134657,0.0181751,0.0142357,0.00332281,0.00625614,0.00772688,0.00907829,0.0112062,0.0104107,0.00359087,0.00651639,0.00589718,0,0.0131184,0.00986838,0.00940075,0.00708245,0,0,0.00510131,0.00740544,0.0128208,0.00724832,0.00979633,0.0113441,0.0198635,0.021183,0.00189376,0.021693,0.0154456,0.0080868,0.00970377,0.00893642,0.0126766,0.00928785,0.0121374,0.0100348,0
1,0.0139082,0.00471025,0.0115314,0.00657897,0.0119572,0,0.00817503,0.00699398,0.0131472,0.0153253,0.0112165,0.0116484,0,0,0.0134596,0.0181764,0.0141468,0.00337108,0.00628154,0.00773026,0.00906211,0.011115,0.0103206,0.00363616,0.0065708,0.00590181,0,0.0131756,0.00989985,0.00934573,0.00700378,0,0,0.00514947,0.00749376,0.0128022,0.007244,0.00976661,0.0114083,0.0198302,0.0211502,0.00192618,0.0217471,0.0154814,0.00811372,0.00964817,0.00898926,0.0126426,0.00928003,0.0120903,0.0100228,0
2,0.0139185,0.00468449,0.0114518,0.00658304,0.0119389,0,0.00811708,0.00697647,0.0131395,0.0152755,0.0112065,0.0116839,0,0,0.0134511,0.0181685,0.01412,0.00333491,0.00627235,0.00769874,0.00903464,0.0110862,0.010339,0.00365811,0.0066272,0.00588151,0,0.0131832,0.00990437,0.00933614,0.00695368,0,0,0.00520876,0.00755185,0.0128314,0.00722272,0.00976123,0.0114966,0.0197879,0.0211613,0.00191762,0.0217207,0.0154733,0.00813958,0.00961631,0.00894231,0.0126708,0.009297,0.0121592,0.0100201,0
3,0.0139337,0.00464818,0.0113323,0.00656327,0.011907,0,0.00808508,0.00697498,0.0131189,0.0152858,0.0112323,0.0116943,0,0,0.0134439,0.0181563,0.0141226,0.00329847,0.00624807,0.00766464,0.00899777,0.0110939,0.0103711,0.00363126,0.00662457,0.00583249,0,0.0131559,0.00988486,0.00933426,0.00692183,0,0,0.00525661,0.00756731,0.0128969,0.00717453,0.00976782,0.0115267,0.0197593,0.0212008,0.00188809,0.021652,0.0154335,0.00813748,0.00962312,0.00883984,0.0127064,0.00931439,0.0122506,0.0100337,0
4,0.0139389,0.00466362,0.0112547,0.00656058,0.0118715,0,0.00809389,0.00701056,0.013115,0.0152928,0.0112597,0.0116483,0,0,0.0134412,0.018155,0.0141211,0.0033255,0.0062423,0.00765963,0.00897336,0.0110921,0.0103156,0.00357573,0.00656034,0.00578371,0,0.0131269,0.00984096,0.00931763,0.00689927,0,0,0.0052738,0.00753743,0.0129491,0.00710407,0.00976319,0.0114885,0.0197412,0.0212155,0.00186848,0.0216261,0.0154012,0.00808763,0.00966701,0.00884782,0.0126622,0.00931747,0.0122604,0.0100426,0
5,0.013945,0.0047041,0.0112338,0.00657673,0.0118619,0,0.00809378,0.00703833,0.0131083,0.0153064,0.0112846,0.0116167,0,0,0.013438,0.0181589,0.0141382,0.00335058,0.0062496,0.00766738,0.00897489,0.0110765,0.0102494,0.00353346,0.00650753,0.00575873,0,0.0131127,0.00983958,0.00932733,0.00688052,0,0,0.00527015,0.0074667,0.0129829,0.00704249,0.00975324,0.0114685,0.0197087,0.0211901,0.0019113,0.0216611,0.0153959,0.00803067,0.00972418,0.00905364,0.0125864,0.00931317,0.0122414,0.0100308,0
6,0.0139538,0.00473322,0.0112363,0.00658639,0.0118831,0,0.00805598,0.00704842,0.0130673,0.0153366,0.0113061,0.0116124,0,0,0.0134315,0.0181497,0.0141879,0.00334934,0.00624353,0.00767456,0.00898118,0.0110673,0.0102629,0.00350579,0.00647852,0.00575521,0,0.013102,0.00992425,0.00937627,0.00682121,0,0,0.005251,0.0073944,0.0130196,0.00702625,0.00975137,0.011473,0.0196711,0.0211498,0.00206926,0.0217149,0.0154173,0.00801461,0.00975024,0.00930071,0.0125822,0.00931615,0.0122348,0.0100139,0
7,0.0139536,0.00473223,0.0112556,0.00658561,0.0119094,0,0.00806355,0.00708165,0.0130331,0.0153578,0.0113291,0.0116034,0,0,0.0134322,0.0181383,0.0142489,0.00337118,0.00622463,0.00769293,0.00897021,0.0110867,0.0103055,0.00347996,0.00643073,0.00577067,0,0.0130494,0.00984309,0.00947862,0.00677638,0,0,0.00518732,0.00737884,0.0130351,0.00704966,0.00975131,0.0114507,0.0196326,0.021093,0.00226835,0.0217592,0.0154414,0.00801557,0.00972873,0.00938793,0.0125931,0.00934928,0.0122267,0.0100049,0
8,0.013948,0.0046933,0.0112905,0.00658721,0.0119242,0,0.00817763,0.00713559,0.0130482,0.0153435,0.0113782,0.0116237,0,0,0.0134425,0.0181403,0.0142819,0.00340026,0.00621869,0.00772011,0.00895061,0.0111218,0.0103017,0.00347146,0.00638287,0.00579759,0,0.0129879,0.00945993,0.00967662,0.006946,0,0,0.00506774,0.00740807,0.0130011,0.00706909,0.00975024,0.0114094,0.0195739,0.0209918,0.00237266,0.0217883,0.0154439,0.0079945,0.00971433,0.00940073,0.0125065,0.00940108,0.0122621,0.0100121,0
