Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0158988,0.00546442,0.00840445,0.00191532,0.0126192,0,0.00825708,0.00572371,0.00558235,0.0044621,0.00812444,0.00721302,0,0,0.0206018,0.0121384,0.00987521,0.0226872,0.0146231,0.0196321,0.0255058,0.0344,0.0218709,0.0177556,0.00294426,0.00328353,0.00598427,0.0103914,0,0.0147955,0.00670309,0.00838508,0.0105783,0,0,0.00617159,0.00833296,0.00597002,0.00669406,0.00320994,0.00610042,0.00661703,0.0271898,0.0185376,0.0160396,0.0136697,0.0226204,0.0146763,0.0198869,0.0198264,0.0280143,0.0235537,0.0193201,0.0139291,0.00325768
0,0.0159765,0.00541123,0.00843143,0.00179511,0.0126254,0,0.00836251,0.00550847,0.00546809,0.00443513,0.0080682,0.00722555,0,0,0.0208834,0.0121683,0.00992341,0.0228286,0.014443,0.0196091,0.0256606,0.0346736,0.0216461,0.0174712,0.00284328,0.00326554,0.0059667,0.0105117,0,0.0148034,0.00673585,0.00824356,0.0105865,0,0,0.00634527,0.00863142,0.0058664,0.00678701,0.00317329,0.00617885,0.00671509,0.0274243,0.0185417,0.0164748,0.0137781,0.0227295,0.0151138,0.0198111,0.0192902,0.0278856,0.0231901,0.0193857,0.0139492,0.00324749
1,0.0159919,0.00537077,0.00842973,0.00185575,0.0126641,0,0.00836391,0.00556943,0.00554773,0.00442721,0.00806313,0.00725334,0,0,0.0208871,0.0121674,0.00992296,0.0228282,0.0144216,0.0196033,0.0256517,0.0347342,0.0216982,0.0174896,0.00285175,0.00329113,0.00612659,0.0105113,0,0.0148007,0.00673141,0.00823322,0.0106218,0,0,0.00623547,0.00856855,0.00585266,0.00679006,0.00316509,0.00617321,0.0066935,0.0273035,0.0185396,0.0164643,0.0137633,0.0227329,0.0149411,0.0197841,0.0193844,0.0280722,0.0231651,0.0193337,0.0139594,0.00321189
2,0.0159835,0.0053341,0.00842304,0.00185545,0.0126564,0,0.00835039,0.00560503,0.00557053,0.00442724,0.00806536,0.00723194,0,0,0.0208929,0.0121701,0.00992293,0.0228381,0.0144246,0.0196035,0.0256461,0.0347222,0.0217288,0.0175045,0.00284373,0.00328733,0.00616947,0.0105138,0,0.0148073,0.00672975,0.00825022,0.0106487,0,0,0.00631973,0.00856258,0.00585824,0.0067962,0.003129,0.00616308,0.00668357,0.0273774,0.0185411,0.0164652,0.0137597,0.0227131,0.0148591,0.0197817,0.0193586,0.0280725,0.0231596,0.0193267,0.0139548,0.00320406
3,0.0159978,0.00530796,0.00842654,0.00184305,0.012641,0,0.00834143,0.00561983,0.00555594,0.00444709,0.00810623,0.00723499,0,0,0.0208965,0.0121759,0.0099334,0.0228384,0.0144333,0.0195995,0.0256345,0.0346934,0.0217558,0.017518,0.00284443,0.00331885,0.00604202,0.0105033,0,0.014773,0.0067384,0.00824657,0.0106413,0,0,0.00638787,0.00866332,0.00590043,0.00679815,0.00316834,0.00615095,0.00671445,0.0274852,0.0185367,0.0164956,0.0137448,0.0226408,0.0148261,0.019771,0.0192911,0.0279661,0.023161,0.019359,0.0139326,0.00323314
4,0.0160046,0.00531186,0.00843131,0.00183277,0.0126581,0,0.00832213,0.00562444,0.00555967,0.00444549,0.00806951,0.00725994,0,0,0.0208998,0.0121699,0.00994308,0.0228344,0.0144501,0.0195858,0.0256036,0.0346923,0.0217436,0.0175165,0.00283179,0.00328351,0.00600117,0.0105082,0,0.0147808,0.00674354,0.00826356,0.0106565,0,0,0.00639279,0.00866927,0.00589178,0.00680837,0.00319896,0.00613409,0.00671467,0.027478,0.0185484,0.0165033,0.0137649,0.0226325,0.0148929,0.0197897,0.0192983,0.0279263,0.0231555,0.0193565,0.0139107,0.00327811
5,0.0159975,0.00532425,0.00843878,0.0018152,0.0126712,0,0.00830708,0.00563177,0.00554399,0.00445373,0.00803438,0.00727172,0,0,0.0208812,0.012162,0.00991096,0.0228241,0.0144441,0.0195666,0.0255933,0.0347029,0.0217249,0.0175042,0.00284438,0.00327057,0.00599201,0.0105129,0,0.0147812,0.00674362,0.00826229,0.0106656,0,0,0.00637901,0.00863457,0.00587847,0.00682276,0.00320503,0.00613036,0.00671034,0.0273896,0.0185757,0.0165176,0.0137653,0.0227202,0.0149961,0.0198159,0.0193307,0.0279133,0.0231663,0.0193172,0.0139145,0.00329445
6,0.0159899,0.00532354,0.00844961,0.00180882,0.0126591,0,0.00830012,0.00563178,0.00551276,0.00446243,0.00802106,0.00726069,0,0,0.0208502,0.0121584,0.00984767,0.0228185,0.014416,0.0195457,0.0255929,0.0346887,0.0217396,0.0174995,0.0028729,0.00328165,0.00600039,0.0105225,0,0.0147707,0.0067381,0.00825101,0.0106628,0,0,0.00636126,0.00861788,0.00586467,0.0068287,0.00319994,0.0061534,0.00670762,0.0273697,0.0186068,0.0165186,0.0137554,0.022788,0.0149913,0.0198353,0.0193501,0.0278601,0.0232057,0.0192957,0.0139574,0.00327449
7,0.0160084,0.00531708,0.0084688,0.00182634,0.0126523,0,0.00829826,0.0056171,0.00549814,0.00445906,0.00801895,0.00725572,0,0,0.020844,0.012158,0.0098237,0.0228215,0.0144044,0.0195326,0.0255838,0.0346735,0.0217738,0.0175026,0.00288663,0.00330297,0.00601456,0.0105324,0,0.0147658,0.00673057,0.00826934,0.0106701,0,0,0.00632677,0.00858814,0.0058544,0.00682077,0.00320859,0.00615697,0.00671255,0.0274153,0.0186177,0.0164986,0.0137674,0.0227633,0.014866,0.0198566,0.0193651,0.0278707,0.0232248,0.0193085,0.014017,0.00325228
8,0.0160314,0.00532561,0.00849105,0.00183843,0.012661,0,0.00830913,0.00560537,0.00548203,0.00445075,0.0080227,0.00725764,0,0,0.0208678,0.012154,0.00983951,0.0228209,0.014428,0.0195393,0.0255648,0.0346727,0.021772,0.0174875,0.00286745,0.00330852,0.00601458,0.0105291,0,0.0147728,0.00672365,0.00829237,0.0106891,0,0,0.00628232,0.00853208,0.00586301,0.00681955,0.00320067,0.00613054,0.00672166,0.0274452,0.0186213,0.0164921,0.0137852,0.0227543,0.0148182,0.0198678,0.0193644,0.0279852,0.0231987,0.0193037,0.0140496,0.00323973
