Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0168808,0.00708208,0.00734697,0.00821141,0.0115902,0,0.00861315,0.00507979,0.00798415,0.00593589,0.00922441,0.00613995,0,0,0.01642,0.0195668,0.0172537,0.00917254,0.0151386,0.0174665,0.0140981,0.0146584,0.00930447,0.00399486,0.00684854,0.0112706,0,0.0147423,0.00566529,0.00945833,0.00641163,0,0,0.00731765,0.0100479,0.00714496,0.00705968,0.00861424,0.00791835,0.00553261,0.0161863,0.0115503,0.0226376,0.022781,0.00895563,0.0188733,0.0115,0.0149387,0.0193649,0.0217245,0.00886189,0
0,0.0163073,0.011755,0.0128834,0.0117738,0.00868742,0,0.00926326,0.00649072,0.00805849,0.00278987,0.00705342,0.00195749,0,0,0.018872,0.020859,0.0180635,0.00384372,0.0255159,0.0274469,0.0202632,0.0183476,0.0119349,0.00292539,0.00477744,0.0126223,0,0.0162727,0.00773276,0.00911852,0.0101569,0,0,0.00680886,0.00916996,0.00604487,0.00906224,0.00295477,0.00865665,0.00978555,0.0242558,0.00476387,0.0273367,0.0228052,0.00867759,0.0119277,0.00560943,0.0156579,0.0181702,0.0173246,0.00625198,0
1,0.0158277,0.0118124,0.0121449,0.0114828,0.00974301,0,0.00921219,0.0064268,0.00823571,0.00290434,0.00662972,0.00192865,0,0,0.0186412,0.0209296,0.018236,0.00344823,0.0249546,0.0270829,0.0199717,0.0183411,0.0118869,0.0026951,0.00449609,0.0129411,0,0.0164328,0.0076953,0.00920276,0.0103011,0,0,0.0067446,0.00915116,0.00470889,0.00784475,0.0031773,0.00838647,0.00815594,0.0229584,0.00551477,0.0267336,0.0227565,0.0074142,0.0139886,0.00685213,0.0152613,0.0190605,0.0169532,0.0068651,0
2,0.0154975,0.0115127,0.0121002,0.0112382,0.0104677,0,0.00916427,0.00639913,0.00857623,0.00327129,0.00619593,0.00195174,0,0,0.0182924,0.0211697,0.018717,0.00308628,0.0245295,0.0266373,0.0195252,0.0182082,0.0119654,0.00249596,0.0042133,0.0128328,0,0.0165441,0.00768054,0.00926364,0.010392,0,0,0.00673234,0.00912348,0.00412305,0.00736437,0.00390303,0.00803502,0.00644637,0.0215194,0.00654854,0.0259671,0.0225418,0.00657933,0.0153106,0.00750971,0.0144905,0.0191104,0.0161125,0.00732437,0
3,0.0152325,0.0110254,0.012133,0.011172,0.0111109,0,0.00916159,0.00634328,0.00912566,0.00375014,0.00579992,0.00206376,0,0,0.0176932,0.0213999,0.0194441,0.00331896,0.0239341,0.0258353,0.0189427,0.0180033,0.0122149,0.00235972,0.00396062,0.0124011,0,0.0166351,0.00763558,0.00931064,0.0104506,0,0,0.00673014,0.00910185,0.00359417,0.00706184,0.00482368,0.00772945,0.00500641,0.0201611,0.00766442,0.0251441,0.022258,0.00632339,0.0160529,0.00781082,0.013341,0.018486,0.0148586,0.00770227,0
4,0.0150269,0.0104939,0.0120798,0.0111318,0.0117308,0,0.00918447,0.00623614,0.00971734,0.00425312,0.00547843,0.00232681,0,0,0.0170799,0.0215388,0.0201549,0.00410091,0.0233263,0.0250372,0.0183989,0.0177664,0.0125275,0.00226832,0.00375011,0.011815,0,0.0167304,0.0075393,0.0093464,0.0104794,0,0,0.00673528,0.00908607,0.00306188,0.00684645,0.00575346,0.0075313,0.00416087,0.0190052,0.00870651,0.0243897,0.0220261,0.00644703,0.0163668,0.00778868,0.0119448,0.0174567,0.013355,0.0080155,0
5,0.0148895,0.00997498,0.0118847,0.0111282,0.0123387,0,0.00924043,0.00607707,0.010361,0.00475058,0.00528657,0.00280112,0,0,0.0164707,0.0215505,0.0207642,0.00504652,0.0226915,0.0242209,0.0178703,0.0174669,0.012905,0.00221709,0.00357737,0.0111837,0,0.016818,0.0073916,0.00936353,0.0104629,0,0,0.00675113,0.00908847,0.00259717,0.0066928,0.00660384,0.00748536,0.0041142,0.0180579,0.00963018,0.0237916,0.0219603,0.0067104,0.0164369,0.00750874,0.0104924,0.0163199,0.0117958,0.00828712,0
6,0.0148257,0.00954724,0.0115364,0.0110815,0.012879,0,0.00931426,0.00586787,0.011001,0.0052252,0.00526552,0.00344111,0,0,0.0159939,0.0214639,0.0211545,0.00574834,0.0220515,0.0234657,0.017302,0.0170663,0.0132886,0.00219857,0.00345371,0.0106397,0,0.0168947,0.00719388,0.0093559,0.0103764,0,0,0.00678564,0.00912066,0.00227284,0.00657722,0.00737419,0.00764077,0.00461319,0.0172328,0.0105018,0.0234137,0.0221799,0.00701969,0.0165449,0.00710335,0.00922679,0.0154877,0.010442,0.00855842,0
7,0.0148314,0.00917045,0.0110286,0.0111048,0.0133592,0,0.0093994,0.00562502,0.0117386,0.00565746,0.00541424,0.00416185,0,0,0.015395,0.0212396,0.0213791,0.0064064,0.0212698,0.0225005,0.0165927,0.0164926,0.0136996,0.00222205,0.00339219,0.0102172,0,0.0169483,0.00696242,0.0093171,0.0101906,0,0,0.0068567,0.00919269,0.00207481,0.00644674,0.0079937,0.00789653,0.00519326,0.0165145,0.0112783,0.0232404,0.0226454,0.00733373,0.0167216,0.0066527,0.00830159,0.015017,0.00940054,0.0088025,0
8,0.0148924,0.00884158,0.0103737,0.0111006,0.0137427,0,0.00947513,0.00536057,0.0124839,0.00601708,0.0056993,0.00486107,0,0,0.0146524,0.0208659,0.0213716,0.00694561,0.0203124,0.0213316,0.01569,0.0157023,0.0140175,0.0022864,0.00341273,0.0099809,0,0.0169784,0.00670941,0.00924916,0.00988074,0,0,0.00697618,0.00931087,0.00193635,0.00625351,0.00848563,0.00820629,0.00563135,0.0158314,0.0119996,0.0232474,0.0233478,0.00766867,0.0171128,0.00628871,0.00778855,0.015047,0.00877224,0.00902274,0
