Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0234412,0.00825492,0.00890668,0.0115568,0.0146589,0,0.0113616,0.00906369,0.0113359,0.0062521,0.00927472,0.00698273,0,0,0.0186721,0.0235375,0.0212283,0.0102608,0.0219114,0.027123,0.0173821,0.0151332,0.0129137,0.00458731,0.00741246,0.0113938,0,0.0182059,0.00896374,0.00897211,0.00423799,0,0,0.00582167,0.00832214,0.00638622,0.00860536,0.00859573,0.0107179,0.0065177,0.0160936,0.0107698,0.0230196,0.0238239,0.00919227,0.0136355,0.0104024,0.0153168,0.0151588,0.0270014,0.00978197,0
0,0.022418,0.0137975,0.014648,0.0181662,0.00830893,0,0.0113254,0.0114659,0.0136848,0.00449933,0.00516398,0.00230672,0,0,0.015654,0.0207803,0.0207216,0.00782943,0.0254822,0.0254536,0.0197623,0.0181086,0.0186633,0.00313778,0.00472924,0.0143384,0,0.0192188,0.0119216,0.0094434,0.00732043,0,0,0.00498405,0.0083489,0.0063843,0.00924419,0.00369925,0.0105641,0.00812961,0.0184353,0.00810784,0.0263786,0.0259922,0.00722024,0.006496,0.00473056,0.0116755,0.0121048,0.0140134,0.00759416,0
1,0.0219674,0.0140039,0.0139175,0.0179338,0.00919634,0,0.0115521,0.0115929,0.0136014,0.00433046,0.00512566,0.00290672,0,0,0.0153954,0.0211566,0.021142,0.00727816,0.0252082,0.0259661,0.019309,0.0174185,0.0185836,0.00325998,0.00462787,0.0137655,0,0.0193986,0.0121074,0.00936041,0.00760358,0,0,0.00478169,0.00814302,0.00485654,0.00832024,0.00450949,0.0105791,0.005831,0.0175608,0.00883108,0.0249268,0.0244656,0.0072464,0.00775164,0.00548473,0.010407,0.011686,0.0124439,0.00780504,0
2,0.0217214,0.0136768,0.0139168,0.0177421,0.0100749,0,0.011748,0.011748,0.013796,0.0045103,0.00518344,0.00370146,0,0,0.0151569,0.0214568,0.0217079,0.00764227,0.0247195,0.0257643,0.0188807,0.0170469,0.0189744,0.00334939,0.00455479,0.0131736,0,0.0195414,0.0122906,0.00928265,0.00781283,0,0,0.00463263,0.00794843,0.00407801,0.00806084,0.00545616,0.0105526,0.004659,0.016583,0.00954308,0.0234439,0.023043,0.00732371,0.00832312,0.00584786,0.0090329,0.0110876,0.0105904,0.00798154,0
3,0.0215948,0.0130577,0.013975,0.0180051,0.0110326,0,0.0119383,0.0118362,0.0145286,0.00486385,0.00540134,0.00459983,0,0,0.0143356,0.0218055,0.0228266,0.00918193,0.0235276,0.0243484,0.0178933,0.0165472,0.0197913,0.00340557,0.00454209,0.0123456,0,0.0196739,0.0123808,0.00921288,0.00797511,0,0,0.00450896,0.00777488,0.00331253,0.00787417,0.00644105,0.0106595,0.00517111,0.0157584,0.0102783,0.0222858,0.0221475,0.00757168,0.00871664,0.0059697,0.00776807,0.0107136,0.00867289,0.00829396,0
4,0.0215749,0.0124734,0.0139178,0.0181336,0.0119379,0,0.0121331,0.0118267,0.0152069,0.00527976,0.00579383,0.00554781,0,0,0.0137355,0.0220347,0.0235624,0.0102026,0.0225869,0.0232451,0.0171058,0.0160728,0.0205302,0.00344125,0.00459751,0.0115642,0,0.0197958,0.0123427,0.00915037,0.00805487,0,0,0.00441206,0.00764587,0.00257178,0.00777134,0.00740197,0.0108769,0.00644513,0.0152395,0.0109917,0.0216848,0.0219935,0.00788547,0.00894455,0.00583387,0.00694773,0.0108657,0.00694718,0.00872863,0
5,0.0217379,0.011897,0.013644,0.0182364,0.0127725,0,0.01229,0.0116702,0.0158797,0.00564776,0.0062628,0.00634312,0,0,0.0132015,0.0221878,0.0240473,0.0109441,0.0216503,0.0221971,0.0162808,0.0155169,0.021151,0.00348226,0.00471902,0.0110161,0,0.0198894,0.0121253,0.0090971,0.00799647,0,0,0.00439075,0.00759268,0.00188982,0.00764857,0.00835222,0.011226,0.00768152,0.0147774,0.0117965,0.0214634,0.0225329,0.00833737,0.00924818,0.00538336,0,0.0116574,0.0570388,0.00926906,0
6,0.0218328,0.0113917,0.0131713,0.0181658,0.0134618,0,0.0124452,0.0115735,0.0164357,0.00594495,0.00688483,0.00724651,0,0,0.0127999,0.0222327,0.0241769,0.0112233,0.0205748,0.0211643,0.0152943,0.0147732,0.0215054,0.0035061,0.00490233,0.0104448,0,0.0200198,0.0119238,0.00903051,0.00783821,0,0,0.00441289,0.00757982,0.00149999,0.0075012,0.00905856,0.0115603,0.0083071,0.0143728,0.0128822,0.0219563,0.0238674,0.00927171,0.00965828,0.00495428,0,0.0125719,0,0.00971939,0
7,0.0220342,0.0108303,0.0125895,0.0178675,0.0139305,0,0.0125362,0.0113985,0.0168436,0.00613567,0.00741855,0.00782941,0,0,0.0125085,0.022188,0.0240366,0.0111754,0.0192888,0.0200753,0.0139972,0.0137365,0.0214951,0.00356375,0.00512094,0.0100039,0,0.0201139,0.0116166,0.00897711,0.00748979,0,0,0.00454538,0.00766915,0.00164098,0.00723078,0.00953435,0.0117734,0.00861382,0.0138291,0.0139122,0.0226683,0.0254518,0.0102763,0.00983716,0.00428067,0,0.0133645,0,0.00998454,0
8,0.0221124,0.0102205,0.0120622,0.0172581,0.0142104,0,0.012616,0.0113343,0.017071,0.00626448,0.0079814,0.00835134,0,0,0.0122546,0.0220842,0.0237454,0.0109824,0.0176817,0.0188287,0.0122505,0.0122815,0.0210349,0.00363195,0.00538357,0.00920752,0,0.0202216,0.0113911,0.00893018,0.00702312,0,0,0.00474274,0.00781208,0.00277528,0.0067991,0.0095749,0.0116273,0.00873705,0.0133015,0.0147764,0.0241512,0.0272791,0.0112156,0.00940519,0.00329584,0.0588195,0.0133508,0,0.00981817,0
