Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0194426,0.00749398,0.00682547,0.00660022,0.0113479,0,0.00917062,0.00502939,0.00710387,0.00558659,0.00985946,0.00645133,0,0,0.0156817,0.0189773,0.0165542,0.00868191,0.0157493,0.0176079,0.0156593,0.0180878,0.00718499,0.00436201,0.00742682,0.0128023,0,0.0155416,0.00551817,0.00953126,0.00614306,0,0,0.00730963,0.0106639,0.00646529,0.00691993,0.00810668,0.00820668,0.0063484,0.0159011,0.0121207,0.0231433,0.0233272,0.00971397,0.029074,0.0186568,0.0200005,0.0284507,0.039668,0.0082513,0
0,0.0182576,0.0122859,0.0114519,0.00963841,0.00789813,0,0.0121981,0.00755282,0.00792315,0.00306927,0.00835031,0.00441792,0,0,0.0179615,0.0207756,0.0178656,0.00344601,0.0239455,0.0249553,0.0187985,0.0178495,0.0101194,0.0028326,0.00481177,0.0134402,0,0.0171181,0.00781515,0.00948726,0.00921116,0,0,0.00744685,0.0111155,0.00739964,0.00797363,0.00322883,0.00964504,0.0116619,0.0222794,0.00790053,0.0282107,0.0239489,0.00890454,0.0300716,0.0156905,0.0203532,0.0335399,0.0307915,0.00692447,0
1,0.0186019,0.0122727,0.0108743,0.00937588,0.00910248,0,0.0103329,0.00715895,0.00782023,0.00303342,0.00825938,0.0041666,0,0,0.0175052,0.0205791,0.0182187,0.00334238,0.0236037,0.0244647,0.0187463,0.0177562,0.0100505,0.00295464,0.00488641,0.0145864,0,0.0177212,0.00771447,0.0094802,0.00952717,0,0,0.00719987,0.0110226,0.00646131,0.00668013,0.00308968,0.00944814,0.011028,0.0213193,0.0088877,0.0280859,0.0241738,0.00917485,0.0306005,0.0164578,0.0204819,0.0338603,0.0300813,0.00717114,0
2,0.01866,0.0120239,0.0109825,0.00915324,0.00974447,0,0.00958481,0.00712765,0.00790931,0.00320179,0.00809802,0.00387044,0,0,0.0170092,0.0206312,0.0188549,0.0034225,0.0234344,0.0241023,0.0185079,0.0175984,0.0100366,0.00306078,0.00497201,0.0148162,0,0.0180501,0.00778928,0.0094887,0.0097417,0,0,0.00710853,0.010939,0.00609835,0.00620461,0.00304624,0.0090462,0.00991306,0.0204044,0.00963261,0.0279273,0.0243172,0.0093854,0.0304848,0.0166242,0.0201346,0.0334329,0.0291062,0.007381,0
3,0.0185369,0.011634,0.0111665,0.00898086,0.0102385,0,0.00936389,0.00715543,0.0081459,0.00346376,0.00779427,0.00347136,0,0,0.016415,0.0207473,0.0195413,0.00392615,0.0232704,0.0237815,0.0182245,0.0174571,0.0100461,0.003172,0.00504199,0.0146202,0,0.0182321,0.00787144,0.00949208,0.0099131,0,0,0.00702258,0.0108499,0.00564625,0.00597391,0.00329673,0.00860164,0.00841927,0.0196104,0.0102232,0.0277408,0.0244538,0.0094493,0.0301951,0.016509,0.0193901,0.0326441,0.0278974,0.00767378,0
4,0.0183485,0.0112172,0.0112528,0.00885244,0.0107325,0,0.00938984,0.0071384,0.00849518,0.00375265,0.00732669,0.0029826,0,0,0.0157213,0.0208668,0.0201711,0.00474311,0.0230646,0.0234959,0.017944,0.0173459,0.0100624,0.00329112,0.00509462,0.0142204,0,0.0183549,0.0078964,0.00948967,0.0100643,0,0,0.00690981,0.0107287,0.00498093,0.00587625,0.00401465,0.00817696,0.00670757,0.0190053,0.0106572,0.0275561,0.0246279,0.00926858,0.0299057,0.0162028,0.0183791,0.0317235,0.0265757,0.00805224,0
5,0.0181849,0.0108534,0.0111799,0.00875605,0.0112661,0,0.00954538,0.00703703,0.00890611,0.00403212,0.00676661,0.00257881,0,0,0.0149492,0.0209613,0.0206899,0.00569029,0.022786,0.0232183,0.0176694,0.0172425,0.0100885,0.00342256,0.00514133,0.0137744,0,0.018453,0.00783152,0.00948844,0.0101865,0,0,0.00677287,0.0105771,0.00411522,0.00589985,0.00512452,0.00784883,0.00525559,0.0186069,0.0109541,0.0274109,0.024878,0.00882859,0.0296935,0.0157376,0.0172473,0.0308653,0.0252898,0.0084667,0
6,0.0182207,0.010551,0.0109092,0.00869305,0.0118167,0,0.00976186,0.00679143,0.00932427,0.00426933,0.00628413,0.0024856,0,0,0.0141225,0.0210071,0.0210816,0.00665068,0.022424,0.0229042,0.0173737,0.017102,0.0101427,0.00358206,0.00521116,0.0135325,0,0.0184947,0.00760524,0.00949019,0.0102108,0,0,0.00665782,0.0104418,0.00321699,0.00596089,0.00644818,0.00776512,0.00463985,0.0181337,0.0110305,0.0271208,0.0251479,0.00789985,0.0296987,0.015057,0,0.0303239,0.0725313,0.0089329,0
7,0.0181068,0.0104391,0.0105191,0.00861019,0.0123321,0,0.0100428,0.00658248,0.00969455,0.00451546,0.00587519,0.00309786,0,0,0.0132276,0.0210115,0.0213587,0.00749896,0.0218196,0.0223932,0.0169078,0.0167815,0.0102321,0.00371347,0.0052688,0.0131069,0,0.0185826,0.00741988,0.00949923,0.0101997,0,0,0.00652635,0.0102776,0.0022856,0.00615051,0.0075522,0.00782944,0.00516939,0.0180919,0.0114893,0.0273467,0.0258333,0.00760995,0.0299882,0.0147786,0,0.0302638,0,0.00925712,0
8,0.0181709,0.0103186,0.00999039,0.00853608,0.0127156,0,0.0103142,0.00629095,0.00999704,0.00470491,0.00575228,0.00392352,0,0,0.0123003,0.020977,0.021556,0.00822447,0.0210087,0.0216742,0.0162251,0.0162493,0.010365,0.00385578,0.00536815,0.0126379,0,0.0186015,0.00712978,0.00948762,0.0100086,0,0,0.00648124,0.010187,0.00206961,0.00613635,0.00836268,0.00794597,0.00596673,0.0179038,0.011738,0.0274883,0.0264725,0.00719493,0.0302995,0.014437,0,0.0303792,0,0.00946083,0
9,0.0181304,0.0101522,0.00942599,0.00842992,0.0130065,0,0.0105986,0.00608076,0.0102258,0.00485805,0.00590762,0.00496463,0,0,0.0113003,0.0208818,0.0216678,0.00879799,0.019887,0.0206368,0.015252,0.0154307,0.0105044,0.00397113,0.00549732,0.0117048,0,0.0186156,0.0069117,0.00943603,0.0096808,0,0,0.00651113,0.0101423,0.00320316,0.00593671,0.00860861,0.0077776,0.00681771,0.0180077,0.0120699,0.028161,0.0272786,0.00733032,0.0303206,0.0143048,0.0445145,0.0303076,0,0.00928209,0
10,0.0183948,0.00979505,0.00846322,0.00820816,0.0134602,0,0.0106857,0.00568683,0.0102802,0.0048532,0.00613273,0.00540655,0,0,0.0100326,0.0202968,0.0212999,0.00920322,0.0186499,0.0193179,0.0142475,0.0144401,0.0104365,0.0041155,0.00566989,0.0124852,0,0.0184687,0.00648902,0.00931433,0.00905004,0,0,0.00673866,0.0102718,0.00249232,0.00548989,0.00884797,0.00795619,0.0068648,0.0172588,0.0119673,0.0280446,0.0278602,0.0068882,0.0317862,0.0150195,0.0160577,0.0318362,0.0235883,0.00946211,0
11,0.0186443,0.00927348,0.00743199,0.00755779,0.0138441,0,0.0106355,0.00532306,0.0101,0.00486151,0.00637627,0.00565127,0,0,0.00887246,0.0194715,0.0205316,0.0091033,0.0171711,0.017812,0.0130079,0.0131997,0.0100776,0.00423623,0.00585112,0.0136669,0,0.0182743,0.00609487,0.0091611,0.00824035,0,0,0.00714004,0.0104757,0.00190852,0.00488518,0.00951518,0.00870835,0.00676115,0.0156224,0.0130541,0.0280636,0.029136,0.00792383,0.0351777,0.0178985,0,0.0351615,0.0727922,0.00987095,0
12,0.0186135,0.00862418,0.00670746,0.00676186,0.0141526,0,0.0106142,0.00514134,0.00993712,0.00492694,0.00672549,0.00603496,0,0,0.00747256,0.0184513,0.0196135,0.00919848,0.0153917,0.0160357,0.0115728,0.0117852,0.00940438,0.0043121,0.00602725,0.0139838,0,0.0180783,0.00591036,0.0090004,0.00734815,0,0,0.00749967,0.0107542,0.00243807,0.00422344,0.00944442,0.00872706,0.00636699,0.014948,0.0135047,0.028563,0.0300919,0.00846114,0.0365204,0.019406,0,0.0365322,0,0.00983258,0
13,0.0186197,0.00780009,0.00640076,0.00558173,0.0143563,0,0.0104755,0.00495127,0.0096262,0.00503912,0.00699767,0.0061605,0,0,0.00640365,0.017272,0.018441,0.00918647,0.0134056,0.0142673,0.00998393,0.0103186,0.0083298,0.00436906,0.00617067,0.0140676,0,0.0178315,0.00573438,0.00891789,0.00635105,0,0,0.00794512,0.0110731,0.00286504,0.00363547,0.00945352,0.00876112,0.00596263,0.0143567,0.0139518,0.0289385,0.0308736,0.00895407,0.0373754,0.0205367,0,0.0373825,0,0.00982799,0
