Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
All Timesteps RMSE,0.0156692,0.0111643,0.0122238,0.0092377,0.0126885,0,0.00927114,0.00699175,0.00802584,0.00476331,0.0101463,0.00939687,0,0,0.0161288,0.0185045,0.0160285,0.00883673,0.0185348,0.0183322,0.017417,0.0160139,0.00958846,0.00323849,0.00513575,0.013082,0,0.0169849,0.00699136,0.00909575,0.0105052,0,0,0.00432791,0.00651835,0.00979466,0.0113107,0.0093069,0.00834347,0.00529816,0.0149051,0.0111247,0.0203202,0.0209649,0.00805383,0.0179901,0.0111542,0.0150309,0.018342,0.0200056,0.00900517,0
0,0.0161199,0.0129053,0.0226602,0.0114157,0.0110694,0,0.0120171,0.0101163,0.00721118,0.00435542,0.00691132,0.00588587,0,0,0.0222659,0.0205166,0.0151209,0.0118552,0.0318171,0.0325004,0.0255848,0.0229725,0.010194,0.00230797,0.00308886,0.0156999,0,0.0217414,0.0106394,0.0121359,0.0174338,0,0,0.00222087,0.00437301,0.0051436,0.0146526,0.00301583,0.00680712,0.00750414,0.0265015,0.00374369,0.0277837,0.0224883,0.00999185,0.00489457,0.0122523,0.0196514,0.0156989,0.0180543,0.00552677,0
1,0.0162671,0.0127689,0.0218699,0.0113968,0.0112777,0,0.011103,0.0092324,0.0073036,0.00421995,0.00666894,0.0054887,0,0,0.0220356,0.0203054,0.0151632,0.0111053,0.0313592,0.0322043,0.0252392,0.0229234,0.0103919,0.00253408,0.00316356,0.015461,0,0.0219186,0.0103021,0.0123315,0.017735,0,0,0.00223273,0.00445552,0.00489074,0.0140831,0.00352951,0.00715723,0.00654823,0.024911,0.0028233,0.0269784,0.0220562,0.00819805,0.00667038,0.011314,0.01797,0.0156193,0.0161651,0.00615529,0
2,0.0162901,0.0120359,0.0217034,0.0115688,0.0117118,0,0.0108663,0.00888432,0.00760265,0.00388773,0.00652274,0.00530699,0,0,0.021442,0.0201181,0.0154988,0.00999403,0.0308068,0.0314679,0.0245434,0.0226502,0.0107913,0.00268068,0.00325598,0.0150568,0,0.0220381,0.01026,0.0124319,0.0179095,0,0,0.00223831,0.00450739,0.00538014,0.0138108,0.00438252,0.00758061,0.00572786,0.0231719,0.00326911,0.0260785,0.0215926,0.00644869,0.00805719,0.0101452,0.0161382,0.0154112,0.0142481,0.00674247,0
3,0.0161495,0.0110825,0.021679,0.011647,0.0121722,0,0.0108406,0.00872728,0.00794264,0.00351316,0.00643476,0.00525044,0,0,0.0208706,0.0199679,0.0159043,0.00905437,0.0303891,0.0309362,0.0239296,0.0223735,0.0111672,0.00277513,0.00333489,0.0143767,0,0.0221812,0.010278,0.0125347,0.0180456,0,0,0.00223448,0.00457116,0.00606389,0.013616,0.0053754,0.00787621,0.00530885,0.0215996,0.00449087,0.0250357,0.0209716,0.00516992,0.00895867,0.009277,0.0143832,0.0147387,0.0122571,0.00729842,0
4,0.0159012,0.00998358,0.0216366,0.0119048,0.0126819,0,0.0108891,0.00860625,0.00859558,0.00321787,0.00642899,0.00530885,0,0,0.0200836,0.0197874,0.0165133,0.00833159,0.0297654,0.0301162,0.0232119,0.022052,0.0116719,0.00280596,0.00338648,0.0134122,0,0.0223736,0.0102515,0.0126508,0.0181798,0,0,0.00225565,0.00465399,0.00689351,0.013453,0.00648007,0.0081686,0.00553426,0.0202025,0.0059465,0.0239762,0.0204147,0.00436319,0.00966698,0.0085054,0.0127014,0.0138585,0.0103585,0.0078797,0
5,0.0156105,0.00888726,0.0215282,0.0120255,0.0131974,0,0.0109718,0.00845407,0.00927832,0.00297433,0.00651686,0.00548019,0,0,0.019447,0.0196291,0.0170274,0.00792251,0.0292655,0.0295855,0.0226748,0.0217647,0.012106,0.00278752,0.0034089,0.0123011,0,0.0226081,0.0101334,0.0127752,0.0183022,0,0,0.0022821,0.00475692,0.00788091,0.013382,0.00759721,0.00850411,0.00630967,0.0190284,0.00739915,0.0230284,0.0200972,0.00408354,0.0102431,0.00779627,0.011223,0.0130069,0.00872755,0.00845661,0
6,0.0153447,0.00778598,0.0212934,0.0122042,0.0137325,0,0.011076,0.00824851,0.0101386,0.00280873,0.00668895,0.00573258,0,0,0.0187291,0.0194178,0.0174881,0.0077721,0.0286591,0.0289521,0.022146,0.0214387,0.0125865,0.00274117,0.00341622,0.0111368,0,0.0228531,0.00991785,0.0128793,0.0183923,0,0,0.00230633,0.00487449,0.008943,0.0133624,0.00863624,0.00893188,0.00720262,0.017983,0.00884373,0.0222842,0.0201947,0.0043267,0.0108866,0.00698772,0.00993344,0.0124825,0.00749499,0.00900369,0
7,0.015143,0.00672259,0.0209009,0.0124059,0.0142628,0,0.0111848,0.00798651,0.011083,0.0027015,0.00690911,0.00600755,0,0,0.0179062,0.0191026,0.0177768,0.00779952,0.0279318,0.0281944,0.0215959,0.0210329,0.0130773,0.0026939,0.0034262,0.0100762,0,0.0230689,0.00962213,0.0129341,0.0184182,0,0,0.00230872,0.00500219,0.0099507,0.0133515,0.00951318,0.0094222,0.00785723,0.0169833,0.0102803,0.0217966,0.0207797,0.00508965,0.0117919,0.00605137,0.00880354,0.0125276,0.00683833,0.00947674,0
8,0.0150143,0.00573523,0.0203377,0.0125761,0.0147635,0,0.0112754,0.00767785,0.0119887,0.00263616,0.00712635,0.0062338,0,0,0.0169379,0.0186057,0.0177852,0.00790274,0.0270473,0.0272543,0.020967,0.0204916,0.0135135,0.00266632,0.00345177,0.00925524,0,0.0232222,0.00927919,0.0129174,0.0183525,0,0,0.00227832,0.00513823,0.0107646,0.0132858,0.0101571,0.00987814,0.00810536,0.0159768,0.0116765,0.0215709,0.0217809,0.00628014,0.0130524,0.00516926,0.00780926,0.0132034,0.00689268,0.00982254,0
