[2022-07-27 19:21:44.415] [info] Preparing to run ScaleTool.
[2022-07-27 19:21:44.415] [info] Processing subject optimized_scale_and_markers...
[2022-07-27 19:21:44.415] [info] Step 1: Loading generic model
[2022-07-27 19:21:44.439] [info] Loaded model LaiArnoldModified2017_poly_withArms_weldHand from file /tmp/tmpsltibevm/results/Models/unscaled_but_with_optimized_markers.osim
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_pelvis.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_pelvis.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'sacrum.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'femur_r.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'tibia_r.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_fibula.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_patella.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_talus.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_foot.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'r_bofoot.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'femur_l.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'tibia_l.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_fibula.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_patella.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_talus.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_foot.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'l_bofoot.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hat_spine.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hat_jaw.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hat_skull.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hat_ribs_scap.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'humerus_rv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'ulna_rv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'radius_rv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'pisiform_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'lunate_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'scaphoid_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'triquetrum_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hamate_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'capitate_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'trapezoid_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'trapezium_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal2_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_proximal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_medial_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_distal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal3_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'middle_proximal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'middle_medial_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'middle_distal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal4_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'ring_proximal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'ring_medial_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'ring_distal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal5_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'little_proximal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'little_medial_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'little_distal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal1_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'thumb_proximal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'thumb_distal_rvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'humerus_lv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'ulna_lv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'radius_lv.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'pisiform_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'lunate_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'scaphoid_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'triquetrum_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'hamate_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'capitate_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'trapezoid_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'trapezium_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal2_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_proximal_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_medial_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'index_distal_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'metacarpal3_lvs.vtp'.
[2022-07-27 19:21:44.439] [warning] Couldn't find file 'middle_proximal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'middle_medial_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'middle_distal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'metacarpal4_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'ring_proximal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'ring_medial_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'ring_distal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'metacarpal5_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'little_proximal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'little_medial_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'little_distal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'metacarpal1_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'thumb_proximal_lvs.vtp'.
[2022-07-27 19:21:44.440] [warning] Couldn't find file 'thumb_distal_lvs.vtp'.
[2022-07-27 19:21:44.506] [info] Step 2: Scaling generic model
[2022-07-27 19:21:44.661] [info] Wrote model file 'Models/optimized_scale_and_markers.osim' from model.
[2022-07-27 19:21:44.661] [error] Marker placement parameters disabled (apply is false) or not set. No markers have been moved.
