time,pelvis_tilt_gold,pelvis_tilt_rec,pelvis_list_gold,pelvis_list_rec,pelvis_rotation_gold,pelvis_rotation_rec,pelvis_tx_gold,pelvis_tx_rec,pelvis_ty_gold,pelvis_ty_rec,pelvis_tz_gold,pelvis_tz_rec,hip_flexion_r_gold,hip_flexion_r_rec,hip_adduction_r_gold,hip_adduction_r_rec,hip_rotation_r_gold,hip_rotation_r_rec,knee_angle_r_gold,knee_angle_r_rec,ankle_angle_r_gold,ankle_angle_r_rec,subtalar_angle_r_gold,subtalar_angle_r_rec,mtp_angle_r_gold,mtp_angle_r_rec,hip_flexion_l_gold,hip_flexion_l_rec,hip_adduction_l_gold,hip_adduction_l_rec,hip_rotation_l_gold,hip_rotation_l_rec,knee_angle_l_gold,knee_angle_l_rec,ankle_angle_l_gold,ankle_angle_l_rec,subtalar_angle_l_gold,subtalar_angle_l_rec,mtp_angle_l_gold,mtp_angle_l_rec,lumbar_extension_gold,lumbar_extension_rec,lumbar_bending_gold,lumbar_bending_rec,lumbar_rotation_gold,lumbar_rotation_rec,arm_flex_r_gold,arm_flex_r_rec,arm_add_r_gold,arm_add_r_rec,arm_rot_r_gold,arm_rot_r_rec,elbow_flex_r_gold,elbow_flex_r_rec,pro_sup_r_gold,pro_sup_r_rec,arm_flex_l_gold,arm_flex_l_rec,arm_add_l_gold,arm_add_l_rec,arm_rot_l_gold,arm_rot_l_rec,elbow_flex_l_gold,elbow_flex_l_rec,pro_sup_l_gold,pro_sup_l_rec
0.99,-0.0444445,-0.0968237,0.0711949,0.0665463,0.0547194,0.0542519,-0.767597,-0.784624,1.40884,1.40337,-0.569612,-0.570434,0.0838221,0.176791,-0.0136802,-0.0326716,-0.017866,0.0580752,0.685854,0.734165,-0.255714,-0.268817,-0.284346,-0.391355,-0.06846,-0.00454865,0.413015,0.513467,0.0429942,0.0146531,-0.046055,0.00854919,0.765529,0.833868,-0.160567,-0.156404,-0.127731,-0.187595,-0.06846,-0.00454865,-0.093611,-0.042304,0.0300852,0.0359444,-0.281699,-0.270252,1.03435,0.965736,-0.349762,-0.341227,0.420183,0.411451,1.86115,2.03256,1.94621,1.97928,0.0165591,0.0239213,-0.783337,-0.72118,-0.467329,-0.430556,2.08092,2.18472,1.64167,1.73166
1,-0.0361482,-0.0873899,0.0694867,0.066048,0.0541911,0.0541408,-0.755738,-0.772579,1.41385,1.40841,-0.569676,-0.570534,0.0851817,0.177089,-0.0171425,-0.0377022,-0.0400651,0.0367906,0.684429,0.732939,-0.239132,-0.256246,-0.294518,-0.40753,-0.069622,-0.00454865,0.399066,0.498443,0.0382571,0.011261,-0.0559476,-0.000588564,0.72924,0.798617,-0.174354,-0.168443,-0.114327,-0.173371,-0.069622,-0.00454865,-0.0958415,-0.0455834,0.0292355,0.0339559,-0.280537,-0.269282,1.0164,0.948589,-0.362399,-0.352664,0.416617,0.409013,1.88936,2.05764,1.94826,1.98114,-0.0173047,-0.00539557,-0.797287,-0.734826,-0.487591,-0.446333,2.08541,2.18793,1.64249,1.73353
1.01,-0.0317987,-0.0819829,0.0631129,0.0594402,0.0557765,0.0557499,-0.743901,-0.760599,1.4177,1.41236,-0.569765,-0.57066,0.0873116,0.178411,-0.0135473,-0.0344408,-0.0616824,0.0161692,0.670622,0.719538,-0.210291,-0.233771,-0.311565,-0.435044,-0.0699882,-0.00454865,0.390203,0.488532,0.0296638,0.00280388,-0.061972,-0.00508102,0.693662,0.763628,-0.183642,-0.176483,-0.102543,-0.161094,-0.0699882,-0.00454865,-0.0919897,-0.0427769,0.033953,0.039165,-0.278878,-0.267592,0.996632,0.929744,-0.378012,-0.367353,0.418576,0.411818,1.91298,2.07802,1.9499,1.98296,-0.0471851,-0.0312794,-0.809064,-0.74587,-0.498727,-0.454068,2.08104,2.18251,1.64199,1.73427
1.02,-0.0218116,-0.070398,0.0595233,0.0561479,0.058075,0.0584706,-0.732055,-0.748633,1.42096,1.41576,-0.569691,-0.570624,0.0821166,0.171914,-0.0126515,-0.034579,-0.0849798,-0.00623593,0.650371,0.699846,-0.170331,-0.197811,-0.310501,-0.442612,-0.0753941,-0.00454865,0.372535,0.469283,0.0242983,-0.00180692,-0.0658924,-0.00757277,0.651837,0.722538,-0.197022,-0.187712,-0.0868602,-0.144134,-0.0753941,-0.00454865,-0.102273,-0.0545541,0.0369508,0.0423936,-0.312597,-0.301433,0.995996,0.929579,-0.360875,-0.35097,0.438349,0.433376,1.91737,2.08114,1.9484,1.98289,-0.158339,-0.127902,-0.81655,-0.754494,-0.609251,-0.550524,2.11269,2.21063,1.64377,1.73774
1.03,-0.0151963,-0.0624218,0.0526071,0.048388,0.0613962,0.061847,-0.720242,-0.736737,1.42323,1.41823,-0.569431,-0.570411,0.0772551,0.166084,-0.00627514,-0.0282409,-0.106294,-0.0261931,0.615457,0.665787,-0.160209,-0.193255,-0.321546,-0.463215,-0.0759883,-0.00454865,0.358808,0.454206,0.0154957,-0.0109466,-0.0682549,-0.0078911,0.609332,0.680432,-0.20917,-0.197598,-0.0669317,-0.122585,-0.0759883,-0.00454865,-0.103805,-0.0575775,0.0410705,0.047809,-0.31143,-0.300241,0.972422,0.907088,-0.383704,-0.372563,0.441332,0.437221,1.94444,2.10433,1.94999,1.98504,-0.187127,-0.151959,-0.828782,-0.765887,-0.62249,-0.559422,2.11095,2.20803,1.64325,1.73866
1.04,-0.00316505,-0.0481711,0.0459373,0.0408671,0.0631041,0.0634253,-0.708427,-0.724818,1.4249,1.42016,-0.569038,-0.57008,0.0649055,0.151772,0.000815694,-0.0211577,-0.126987,-0.0450613,0.572163,0.623309,-0.166786,-0.205443,-0.333603,-0.484319,-0.0790239,-0.00454865,0.33769,0.430861,0.00537113,-0.0218162,-0.0758704,-0.0132182,0.564415,0.635982,-0.21182,-0.197918,-0.0404503,-0.0953735,-0.0790239,-0.00454865,-0.11393,-0.0701294,0.0454279,0.0537704,-0.323399,-0.311836,0.958539,0.893714,-0.393218,-0.381847,0.453937,0.450332,1.95591,2.11333,1.94705,1.98405,-0.249116,-0.204888,-0.835161,-0.772545,-0.675057,-0.603549,2.12003,2.21528,1.64156,1.73915
1.05,0.00434211,-0.0392883,0.0406918,0.0354576,0.0639925,0.0644618,-0.697011,-0.713362,1.42514,1.42061,-0.568964,-0.57006,0.0610027,0.146724,0.00555548,-0.0170577,-0.145316,-0.0617861,0.533112,0.58488,-0.165418,-0.206658,-0.329784,-0.486217,-0.0835321,-0.00454865,0.321583,0.413371,-0.000933323,-0.0282118,-0.0801099,-0.0152579,0.518134,0.590065,-0.22447,-0.208928,-0.0269504,-0.0817039,-0.0835321,-0.00454865,-0.120651,-0.0783856,0.0484983,0.0576045,-0.336729,-0.325161,0.947558,0.88304,-0.402029,-0.390189,0.472058,0.468926,1.9652,2.12004,1.94137,1.98068,-0.317463,-0.263975,-0.83799,-0.776649,-0.734658,-0.654582,2.13022,2.22368,1.63584,1.73557
1.06,0.0112986,-0.0313793,0.0372237,0.0324693,0.0625098,0.0631094,-0.685847,-0.702195,1.42433,1.41998,-0.568912,-0.570053,0.0608978,0.145773,0.00859693,-0.0151014,-0.158476,-0.0733253,0.497581,0.549695,-0.166169,-0.208997,-0.323334,-0.483871,-0.0870271,-0.00454865,0.305602,0.396443,-0.00509645,-0.032143,-0.0848074,-0.0179022,0.470723,0.543049,-0.237948,-0.221216,-0.0189443,-0.0744375,-0.0870271,-0.00454865,-0.12729,-0.0862533,0.0488701,0.0579748,-0.342201,-0.330522,0.932413,0.867982,-0.414873,-0.402225,0.482945,0.479767,1.97458,2.12695,1.93712,1.97838,-0.371421,-0.310388,-0.842121,-0.78209,-0.779344,-0.692328,2.13577,2.22802,1.62899,1.73043
1.07,0.0168348,-0.0251554,0.0333539,0.0290858,0.059189,0.0597075,-0.67483,-0.691194,1.42244,1.41824,-0.56876,-0.569939,0.0643328,0.148545,0.0123206,-0.0122764,-0.167911,-0.0811644,0.46358,0.51586,-0.170803,-0.213812,-0.312219,-0.47494,-0.0907036,-0.00454865,0.291309,0.381417,-0.0100472,-0.0371359,-0.0903141,-0.0213103,0.423537,0.496076,-0.250434,-0.232446,-0.00789284,-0.0641836,-0.0907036,-0.00454865,-0.133422,-0.0933389,0.0494417,0.0585837,-0.348696,-0.336784,0.91885,0.854425,-0.426493,-0.413045,0.49824,0.494943,1.98068,2.13059,1.93334,1.97663,-0.431969,-0.363164,-0.841577,-0.783615,-0.830976,-0.736832,2.14371,2.23459,1.6219,1.72488
1.08,0.0204703,-0.021246,0.0294884,0.0255932,0.0548103,0.0550139,-0.663872,-0.680289,1.41948,1.41541,-0.568578,-0.569778,0.0700932,0.153993,0.0167221,-0.00850227,-0.171496,-0.083161,0.428343,0.480606,-0.183037,-0.224761,-0.296688,-0.459451,-0.0939054,-0.00454865,0.279607,0.369381,-0.0150411,-0.0425149,-0.0957694,-0.0247707,0.377196,0.449786,-0.261926,-0.242507,0.00718758,-0.0497507,-0.0939054,-0.00454865,-0.138051,-0.0985251,0.0495893,0.0588495,-0.352979,-0.340736,0.905259,0.840789,-0.442895,-0.428331,0.515088,0.511533,1.98641,2.1337,1.93242,1.9766,-0.489341,-0.41371,-0.838809,-0.783113,-0.880082,-0.779699,2.15096,2.24086,1.61737,1.71998
