time,pelvis_tilt_gold,pelvis_tilt_rec,pelvis_list_gold,pelvis_list_rec,pelvis_rotation_gold,pelvis_rotation_rec,pelvis_tx_gold,pelvis_tx_rec,pelvis_ty_gold,pelvis_ty_rec,pelvis_tz_gold,pelvis_tz_rec,hip_flexion_r_gold,hip_flexion_r_rec,hip_adduction_r_gold,hip_adduction_r_rec,hip_rotation_r_gold,hip_rotation_r_rec,knee_angle_r_gold,knee_angle_r_rec,ankle_angle_r_gold,ankle_angle_r_rec,subtalar_angle_r_gold,subtalar_angle_r_rec,mtp_angle_r_gold,mtp_angle_r_rec,hip_flexion_l_gold,hip_flexion_l_rec,hip_adduction_l_gold,hip_adduction_l_rec,hip_rotation_l_gold,hip_rotation_l_rec,knee_angle_l_gold,knee_angle_l_rec,ankle_angle_l_gold,ankle_angle_l_rec,subtalar_angle_l_gold,subtalar_angle_l_rec,mtp_angle_l_gold,mtp_angle_l_rec,lumbar_extension_gold,lumbar_extension_rec,lumbar_bending_gold,lumbar_bending_rec,lumbar_rotation_gold,lumbar_rotation_rec,arm_flex_r_gold,arm_flex_r_rec,arm_add_r_gold,arm_add_r_rec,arm_rot_r_gold,arm_rot_r_rec,elbow_flex_r_gold,elbow_flex_r_rec,pro_sup_r_gold,pro_sup_r_rec,arm_flex_l_gold,arm_flex_l_rec,arm_add_l_gold,arm_add_l_rec,arm_rot_l_gold,arm_rot_l_rec,elbow_flex_l_gold,elbow_flex_l_rec,pro_sup_l_gold,pro_sup_l_rec
0.004,-0.00229077,0.0432156,-0.0840695,-0.0812152,0.0549738,0.0718845,-5.45206,-5.45932,1.0706,1.06455,0.136977,0.13768,0.513394,0.483244,0.128151,0.105891,-0.19191,-0.210695,0.19777,0.2137,-0.100068,-0.122786,0.127983,0.143078,-0.595393,-0.532032,-0.405913,-0.470236,-0.0478109,-0.0836895,0.0344823,0.031165,1.14516,1.11014,-0.302795,-0.276729,-0.231654,-0.120581,-0.179169,-0.0542565,-0.182916,-0.223111,0.0969137,0.0949573,-0.20041,-0.209318,-1.03655,-0.981141,-0.314843,-0.244551,-0.108531,-0.159963,1.54671,1.44944,1.5708,1.5708,-0.212278,-0.181799,-0.219392,-0.15476,-0.0382062,-0.0639966,2.29591,2.24622,1.5708,1.5708
0.008,0.00373237,0.0488243,-0.086766,-0.0839153,0.0546447,0.0714326,-5.4317,-5.43903,1.06923,1.06315,0.13672,0.137402,0.500718,0.470941,0.133067,0.111015,-0.199573,-0.218246,0.197655,0.213659,-0.0968068,-0.119404,0.117552,0.13244,-0.593922,-0.532394,-0.398858,-0.461746,-0.050483,-0.0863325,0.0344746,0.0321651,1.18981,1.15595,-0.297369,-0.270601,-0.241546,-0.131057,-0.177482,-0.0536529,-0.190891,-0.230773,0.100781,0.0989659,-0.194836,-0.203619,-1.02422,-0.968674,-0.317918,-0.247647,-0.107281,-0.158405,1.55035,1.45312,1.5708,1.5708,-0.220907,-0.189739,-0.217352,-0.152724,-0.0428981,-0.06956,2.27001,2.21886,1.5708,1.5708
0.012,0.00865999,0.0537603,-0.0872159,-0.0839648,0.0564407,0.0731625,-5.41195,-5.41931,1.0677,1.06164,0.136039,0.136724,0.491811,0.461828,0.133403,0.111077,-0.210689,-0.229156,0.204864,0.220892,-0.0915232,-0.113807,0.108753,0.123794,-0.587994,-0.523938,-0.383258,-0.444956,-0.0491251,-0.084605,0.0400308,0.0393414,1.24255,1.21002,-0.299597,-0.271326,-0.251472,-0.141755,-0.171997,-0.0427421,-0.199303,-0.239247,0.102965,0.100912,-0.190895,-0.199841,-1.00967,-0.953899,-0.32086,-0.250577,-0.106113,-0.156917,1.55156,1.45405,1.5708,1.5708,-0.22918,-0.197658,-0.215451,-0.150902,-0.0446228,-0.0723351,2.24514,2.19261,1.5708,1.5708
0.016,0.0126878,0.0578296,-0.0879811,-0.0846489,0.0551524,0.0717809,-5.39211,-5.3995,1.06595,1.05991,0.135506,0.136173,0.484255,0.454063,0.135393,0.113043,-0.217461,-0.235831,0.216172,0.231996,-0.0856371,-0.108332,0.0964717,0.111336,-0.566716,-0.508739,-0.368503,-0.429147,-0.0469169,-0.0821473,0.0417226,0.0423629,1.29279,1.26146,-0.293052,-0.264507,-0.26747,-0.159532,-0.10282,0.0148993,-0.206376,-0.246407,0.105561,0.103468,-0.184005,-0.192974,-0.995566,-0.939641,-0.324571,-0.254278,-0.105487,-0.155795,1.55608,1.4586,1.5708,1.5708,-0.228637,-0.196053,-0.214691,-0.150404,-0.0588377,-0.0875696,2.21227,2.15817,1.5708,1.5708
0.02,0.0173748,0.0621695,-0.0918989,-0.0888618,0.0529741,0.0695844,-5.37216,-5.37962,1.064,1.05792,0.13517,0.135779,0.476238,0.446497,0.140922,0.11885,-0.223516,-0.241841,0.229284,0.245119,-0.0855197,-0.108108,0.0835413,0.0983762,-0.56282,-0.506394,-0.357576,-0.416736,-0.0504617,-0.0857894,0.0382872,0.0399127,1.33868,1.30872,-0.283313,-0.254077,-0.275458,-0.167762,-0.103037,0.0143076,-0.213886,-0.253612,0.110629,0.109,-0.174115,-0.182912,-0.98148,-0.925541,-0.327973,-0.257786,-0.105546,-0.1557,1.55958,1.46235,1.5708,1.5708,-0.233927,-0.200702,-0.212456,-0.14797,-0.0600674,-0.0899627,2.17964,2.12363,1.5708,1.5708
0.024,0.0222442,0.0668197,-0.0941881,-0.0912333,0.0488347,0.0652994,-5.35224,-5.35977,1.062,1.05591,0.134797,0.135321,0.468524,0.439016,0.145256,0.123161,-0.22571,-0.243949,0.246838,0.262583,-0.0834024,-0.105876,0.0735236,0.0886562,-0.542459,-0.487308,-0.347208,-0.405072,-0.0498446,-0.0846607,0.0354526,0.0380603,1.37899,1.35043,-0.31524,-0.28465,-0.318133,-0.208725,-0.189308,-0.0715169,-0.221697,-0.261296,0.114056,0.112557,-0.164124,-0.172724,-0.966246,-0.910315,-0.33416,-0.26395,-0.104137,-0.153876,1.56472,1.46776,1.5708,1.5708,-0.239106,-0.205031,-0.209511,-0.144934,-0.0643892,-0.0954605,2.14687,2.08891,1.5708,1.5708
0.028,0.0238128,0.0687884,-0.0933037,-0.0901738,0.0461639,0.0625273,-5.33303,-5.34054,1.05962,1.05359,0.133781,0.134281,0.466969,0.436866,0.143711,0.121273,-0.228827,-0.24685,0.271054,0.286668,-0.0836549,-0.104511,0.0659493,0.0825202,-0.535078,-0.460694,-0.325051,-0.382177,-0.0428554,-0.0770654,0.0351608,0.0392961,1.43307,1.40594,-0.29783,-0.266504,-0.349011,-0.241215,-0.0727732,0.0285607,-0.227841,-0.267829,0.115405,0.11367,-0.155763,-0.164474,-0.948976,-0.892956,-0.340103,-0.269827,-0.104257,-0.153323,1.56992,1.47309,1.5708,1.5708,-0.245805,-0.211392,-0.204751,-0.140296,-0.0653818,-0.0977379,2.12107,2.06164,1.5708,1.5708
0.032,0.0282552,0.0725484,-0.0992477,-0.0965039,0.0463574,0.0628147,-5.31365,-5.32126,1.05716,1.05103,0.133651,0.134079,0.460648,0.431525,0.150003,0.127913,-0.231718,-0.249827,0.2915,0.307088,-0.0899191,-0.111515,0.0565742,0.0727482,-0.532766,-0.470162,-0.309933,-0.364969,-0.0517568,-0.0863034,0.0378917,0.0430729,1.47891,1.45326,-0.308024,-0.275235,-0.32715,-0.218634,-0.170647,-0.0442217,-0.236997,-0.276309,0.122436,0.121497,-0.147077,-0.155558,-0.931681,-0.875924,-0.343518,-0.273412,-0.104401,-0.153544,1.5737,1.47741,1.5708,1.5708,-0.256869,-0.221993,-0.200108,-0.135227,-0.0608985,-0.0943608,2.09481,2.03353,1.5708,1.5708
0.036,0.0289742,0.0736603,-0.0989749,-0.0963511,0.0426469,0.0589848,-5.29465,-5.30224,1.05432,1.04824,0.13268,0.133071,0.460749,0.431062,0.148788,0.126619,-0.229989,-0.247984,0.320099,0.33521,-0.0928625,-0.114615,0.0560088,0.0727443,-0.52817,-0.466048,-0.285726,-0.34001,-0.0464185,-0.0806171,0.0337697,0.0402641,1.53313,1.50885,-0.280738,-0.249969,-0.35223,-0.246402,-0.0495428,0.0382441,-0.242763,-0.282433,0.124287,0.123417,-0.136783,-0.145192,-0.913226,-0.857538,-0.350327,-0.280209,-0.105915,-0.15439,1.58077,1.48496,1.5708,1.5708,-0.257999,-0.222455,-0.196447,-0.13167,-0.0658566,-0.100745,2.06121,1.99811,1.5708,1.5708
0.04,0.0317804,0.0757038,-0.105047,-0.102932,0.0416334,0.0579648,-5.27539,-5.28309,1.05139,1.04521,0.132736,0.133042,0.456608,0.428082,0.15548,0.133725,-0.227601,-0.2456,0.343941,0.359233,-0.0998941,-0.120526,0.0529748,0.0704251,-0.523863,-0.451652,-0.266386,-0.318398,-0.0552364,-0.0897543,0.0359363,0.0435232,1.58035,1.55775,-0.283072,-0.249368,-0.324407,-0.217271,-0.135378,-0.00928538,-0.249859,-0.28877,0.130668,0.130662,-0.128338,-0.136326,-0.89348,-0.838347,-0.356739,-0.286678,-0.103721,-0.152261,1.58509,1.49,1.5708,1.5708,-0.270373,-0.234008,-0.192156,-0.127037,-0.0662416,-0.102152,2.03407,1.9691,1.5708,1.5708
